scenario,candidate,deviance,d_obs,c_obs,forecast_mse
early_seir_infected_only,neural_ode_h2,-80.0304217311571,2.301895441467816,8.57481978751543,0.00761500430006665
early_seir_infected_only,seir,-81.89325355066175,1.5843742409489219,7.804546265366324,0.00021699633428455
early_seir_infected_only,sir,-80.94668630467613,1.3801700004380453,8.203721724468759,0.0005841277250084
early_seir_infected_only,tv_sir,-82.51933872036203,2.77457008075417,14.323544289451945,0.0012310759190769
early_seir_infected_only,ude_sir_h2,-81.32602320173298,1.495932017639209,8.616604627099886,0.00077395838884055
missing_neural_feedback,neural_ode_h2,-210.15358589773123,4.902014769439383,24.20039230240982,4.294836024263746e-05
missing_neural_feedback,seir,-124.67821860766882,2.6489070353693362,18.292443770268168,5.779529304806901e-06
missing_neural_feedback,sir,-46.433771551194184,1.9996712030318515,18.058537917262118,0.0003934030705535
missing_neural_feedback,tv_sir,-208.22856544484586,3.8182076306495096,27.186049697092802,3.911198559548732e-05
missing_neural_feedback,ude_sir_h2,-209.80340974785048,3.867948070203602,26.618202824518853,0.0001178695988404
missing_time_varying_transmission,neural_ode_h2,-205.51097578761318,4.955367398956856,25.76516003354006,2.7645380144607508e-06
missing_time_varying_transmission,seir,-169.49991712329745,2.622093111292562,18.549547932510997,2.8950933215710707e-06
missing_time_varying_transmission,sir,-83.1430346664583,1.9997631443866717,18.32969907218169,2.3658387597609305e-05
missing_time_varying_transmission,tv_sir,-210.1816466700965,3.4828114450581067,25.230034458638585,1.1667119747364166e-07
missing_time_varying_transmission,ude_sir_h2,-209.82781307995145,3.7753182538246577,26.0514546419485,4.192420686026936e-06
noisy_sir_overfit_risk,neural_ode_h2,-88.76461235441819,3.4665214372543325,13.493696100427595,4.097739772214349e-05
noisy_sir_overfit_risk,seir,-93.77474134341753,2.599722133615389,13.519319676835426,4.0087976193131244e-05
noisy_sir_overfit_risk,sir,-92.95401491112929,1.9970065176215392,13.2472820452082,8.867769578513042e-06
noisy_sir_overfit_risk,tv_sir,-94.51901949452267,3.0047147411701056,17.138336326501893,1.760403880836197e-05
noisy_sir_overfit_risk,ude_sir_h2,-94.33366299996871,2.754810982129594,14.744561807000698,1.8929957967166274e-05
regular_sir_full,neural_ode_h2,-525.8379046696339,7.458551556726924,41.90336377742299,0.00024134696582185
regular_sir_full,seir,-491.00149134765945,2.990402309955253,26.398725068868952,3.0321529749319152e-06
regular_sir_full,sir,-555.2692479312575,1.9999398994792486,22.018035388579733,2.603125101485816e-07
regular_sir_full,tv_sir,-557.3980824180461,3.990249474698487,35.838456888020154,7.580390113111778e-07
regular_sir_full,ude_sir_h2,-556.8967986909064,3.2689198702278985,27.6355710129291,5.969942638623522e-07
