scenario,method,nominal,rank,threshold,coverage,coverage_ci_low,coverage_ci_high,mean_log_relative_width,n
regular_sir_full,naive_wald,0.5,2,1.386294361119891,0.56,0.4907167533465867,0.6270218074881414,-10.682243888651067,200
regular_sir_full,geometric_quotient,0.5,2,1.386294361119891,0.56,0.4907167533465867,0.6270218074881414,-10.682243888651067,200
regular_sir_full,simulation_calibrated,0.5,2,1.4085528270318979,0.56,0.4907167533465867,0.6270218074881414,-10.666315335118444,200
regular_sir_full,naive_wald,0.8,2,3.218875824868201,0.825,0.7663556885175099,0.8713948493372666,-9.839845972742292,200
regular_sir_full,geometric_quotient,0.8,2,3.218875824868201,0.825,0.7663556885175099,0.8713948493372666,-9.839845972742292,200
regular_sir_full,simulation_calibrated,0.8,2,3.1757177140809856,0.82,0.7608852497127511,0.8670537414057983,-9.853344490151473,200
regular_sir_full,naive_wald,0.9,2,4.605170185988092,0.92,0.874010511732856,0.9501594141102401,-9.481698522821446,200
regular_sir_full,geometric_quotient,0.9,2,4.605170185988092,0.92,0.874010511732856,0.9501594141102401,-9.481698522821446,200
regular_sir_full,simulation_calibrated,0.9,2,4.393148443346243,0.905,0.8563983883518006,0.9383368972826135,-9.528831993324236,200
regular_sir_full,naive_wald,0.95,2,5.991464547107979,0.945,0.9042130012276914,0.9690146582965411,-9.218542267704455,200
regular_sir_full,geometric_quotient,0.95,2,5.991464547107979,0.945,0.9042130012276914,0.9690146582965411,-9.218542267704455,200
regular_sir_full,simulation_calibrated,0.95,2,5.521664434229723,0.945,0.9042130012276914,0.9690146582965411,-9.30019880585059,200
early_seir_infected_only,naive_wald,0.5,3,2.365973884375337,0.105,0.06970748792681017,0.1551803199112304,inf,200
early_seir_infected_only,geometric_quotient,0.5,2,1.386294361119891,0.075,0.04597491718438201,0.12004361023629456,-2.9061239421867993,200
early_seir_infected_only,simulation_calibrated,0.5,2,28.055914039898912,0.45,0.3826406840224836,0.5192438486152432,0.10144124679224387,200
early_seir_infected_only,naive_wald,0.8,3,4.64162767608745,0.155,0.11139636927689314,0.21160690592342077,inf,200
early_seir_infected_only,geometric_quotient,0.8,2,3.218875824868201,0.135,0.09446570454787906,0.18929138370752552,-2.0637260262780246,200
early_seir_infected_only,simulation_calibrated,0.8,2,64.17383424371675,0.805,0.7445595562538726,0.8539447946559949,0.928837359155871,200
early_seir_infected_only,naive_wald,0.9,3,6.251388631170325,0.175,0.12860515066273331,0.23364431148248993,inf,200
early_seir_infected_only,geometric_quotient,0.9,2,4.605170185988092,0.155,0.11139636927689314,0.21160690592342077,-1.7055785763571796,200
early_seir_infected_only,simulation_calibrated,0.9,2,82.15932553304845,0.87,0.8163364812775159,0.9097179772033067,1.1759021542327295,200
early_seir_infected_only,naive_wald,0.95,3,7.814727903251179,0.195,0.1460552053440051,0.25544044374612745,inf,200
early_seir_infected_only,geometric_quotient,0.95,2,5.991464547107979,0.175,0.12860515066273331,0.23364431148248993,-1.4424223212401872,200
early_seir_infected_only,simulation_calibrated,0.95,2,117.55815539564144,0.94,0.8980683070423372,0.9653478057456681,1.534174948514333,200
