seed,criterion,selected,correct
0,aic,rm,1
0,aicc,rm,1
0,bic,rm,1
0,waic_laplace,lv,0
0,ogic_p,rm,1
0,gic_eff,rm,1
0,gic_vol_050,rm,1
0,ogic_e,rm,1
1,aic,rm,1
1,aicc,rm,1
1,bic,rm,1
1,waic_laplace,lv,0
1,ogic_p,rm,1
1,gic_eff,rm,1
1,gic_vol_050,rm,1
1,ogic_e,rm,1
2,aic,rm,1
2,aicc,rm,1
2,bic,rm,1
2,waic_laplace,ude_lv,0
2,ogic_p,rm,1
2,gic_eff,rm,1
2,gic_vol_050,rm,1
2,ogic_e,rm,1
3,aic,rm,1
3,aicc,rm,1
3,bic,rm,1
3,waic_laplace,rm,1
3,ogic_p,rm,1
3,gic_eff,rm,1
3,gic_vol_050,rm,1
3,ogic_e,rm,1
4,aic,rm,1
4,aicc,rm,1
4,bic,rm,1
4,waic_laplace,lv,0
4,ogic_p,rm,1
4,gic_eff,rm,1
4,gic_vol_050,rm,1
4,ogic_e,rm,1
5,aic,rm,1
5,aicc,rm,1
5,bic,rm,1
5,waic_laplace,ude_lv,0
5,ogic_p,rm,1
5,gic_eff,rm,1
5,gic_vol_050,rm,1
5,ogic_e,rm,1
6,aic,rm,1
6,aicc,rm,1
6,bic,rm,1
6,waic_laplace,lv,0
6,ogic_p,rm,1
6,gic_eff,rm,1
6,gic_vol_050,rm,1
6,ogic_e,rm,1
7,aic,rm,1
7,aicc,rm,1
7,bic,rm,1
7,waic_laplace,lv,0
7,ogic_p,neural_ode,0
7,gic_eff,rm,1
7,gic_vol_050,rm,1
7,ogic_e,rm,1
8,aic,rm,1
8,aicc,rm,1
8,bic,rm,1
8,waic_laplace,lv,0
8,ogic_p,rm,1
8,gic_eff,rm,1
8,gic_vol_050,rm,1
8,ogic_e,rm,1
9,aic,rm,1
9,aicc,rm,1
9,bic,rm,1
9,waic_laplace,ude_lv,0
9,ogic_p,rm,1
9,gic_eff,rm,1
9,gic_vol_050,rm,1
9,ogic_e,rm,1
10,aic,rm,1
10,aicc,rm,1
10,bic,rm,1
10,waic_laplace,lv,0
10,ogic_p,rm,1
10,gic_eff,rm,1
10,gic_vol_050,rm,1
10,ogic_e,rm,1
11,aic,rm,1
11,aicc,rm,1
11,bic,rm,1
11,waic_laplace,lv,0
11,ogic_p,neural_ode,0
11,gic_eff,rm,1
11,gic_vol_050,rm,1
11,ogic_e,rm,1
12,aic,rm,1
12,aicc,rm,1
12,bic,rm,1
12,waic_laplace,rm,1
12,ogic_p,rm,1
12,gic_eff,rm,1
12,gic_vol_050,rm,1
12,ogic_e,rm,1
13,aic,rm,1
13,aicc,rm,1
13,bic,rm,1
13,waic_laplace,lv,0
13,ogic_p,neural_ode,0
13,gic_eff,rm,1
13,gic_vol_050,rm,1
13,ogic_e,rm,1
14,aic,rm,1
14,aicc,rm,1
14,bic,rm,1
14,waic_laplace,ude_lv,0
14,ogic_p,rm,1
14,gic_eff,rm,1
14,gic_vol_050,rm,1
14,ogic_e,rm,1
15,aic,rm,1
15,aicc,rm,1
15,bic,rm,1
15,waic_laplace,lv,0
15,ogic_p,rm,1
15,gic_eff,rm,1
15,gic_vol_050,rm,1
15,ogic_e,rm,1
16,aic,rm,1
16,aicc,rm,1
16,bic,rm,1
16,waic_laplace,ude_lv,0
16,ogic_p,rm,1
16,gic_eff,rm,1
16,gic_vol_050,rm,1
16,ogic_e,rm,1
17,aic,rm,1
17,aicc,rm,1
17,bic,rm,1
17,waic_laplace,lv,0
17,ogic_p,rm,1
17,gic_eff,rm,1
17,gic_vol_050,rm,1
17,ogic_e,rm,1
18,aic,rm,1
18,aicc,rm,1
18,bic,rm,1
18,waic_laplace,lv,0
18,ogic_p,rm,1
18,gic_eff,rm,1
18,gic_vol_050,rm,1
18,ogic_e,rm,1
19,aic,rm,1
19,aicc,rm,1
19,bic,rm,1
19,waic_laplace,rm,1
19,ogic_p,rm,1
19,gic_eff,rm,1
19,gic_vol_050,rm,1
19,ogic_e,rm,1
