study,seed,criterion,interpretation,candidate,weight
biochemical_haldane,0,gic_pred,predictive_support,haldane,0.6509306269751657
biochemical_haldane,0,gic_pred,predictive_support,mm,4.262089383534127e-45
biochemical_haldane,0,gic_pred,predictive_support,neural_rate,0.0004592521886993721
biochemical_haldane,0,gic_pred,predictive_support,ude_mm,0.348610120836135
biochemical_haldane,0,gic_evid,equal_prior_posterior_approximation,haldane,0.9922386008653262
biochemical_haldane,0,gic_evid,equal_prior_posterior_approximation,mm,1.0069683315754661e-47
biochemical_haldane,0,gic_evid,equal_prior_posterior_approximation,neural_rate,4.8693141699372063e-20
biochemical_haldane,0,gic_evid,equal_prior_posterior_approximation,ude_mm,0.007761399134673796
biochemical_haldane,1,gic_pred,predictive_support,haldane,0.6345055634477075
biochemical_haldane,1,gic_pred,predictive_support,mm,1.120778421146567e-32
biochemical_haldane,1,gic_pred,predictive_support,neural_rate,2.4317508903652896e-05
biochemical_haldane,1,gic_pred,predictive_support,ude_mm,0.36547011904338883
biochemical_haldane,1,gic_evid,equal_prior_posterior_approximation,haldane,0.9813900457681999
biochemical_haldane,1,gic_evid,equal_prior_posterior_approximation,mm,5.209444516589176e-35
biochemical_haldane,1,gic_evid,equal_prior_posterior_approximation,neural_rate,5.490794337299698e-21
biochemical_haldane,1,gic_evid,equal_prior_posterior_approximation,ude_mm,0.018609954231800157
biochemical_haldane,2,gic_pred,predictive_support,haldane,0.7236287948316612
biochemical_haldane,2,gic_pred,predictive_support,mm,6.817727221762778e-32
biochemical_haldane,2,gic_pred,predictive_support,neural_rate,0.0001996685397256921
biochemical_haldane,2,gic_pred,predictive_support,ude_mm,0.2761715366286131
biochemical_haldane,2,gic_evid,equal_prior_posterior_approximation,haldane,0.9879443147037416
biochemical_haldane,2,gic_evid,equal_prior_posterior_approximation,mm,1.7824180711693274e-34
biochemical_haldane,2,gic_evid,equal_prior_posterior_approximation,neural_rate,8.242825953549254e-20
biochemical_haldane,2,gic_evid,equal_prior_posterior_approximation,ude_mm,0.012055685296258473
biochemical_haldane,3,gic_pred,predictive_support,haldane,0.724808854263835
biochemical_haldane,3,gic_pred,predictive_support,mm,2.721400512377646e-38
biochemical_haldane,3,gic_pred,predictive_support,neural_rate,0.00018752122466076212
biochemical_haldane,3,gic_pred,predictive_support,ude_mm,0.27500362451150434
biochemical_haldane,3,gic_evid,equal_prior_posterior_approximation,haldane,0.9891427687703283
biochemical_haldane,3,gic_evid,equal_prior_posterior_approximation,mm,7.027840867400559e-41
biochemical_haldane,3,gic_evid,equal_prior_posterior_approximation,neural_rate,5.988103416283237e-20
biochemical_haldane,3,gic_evid,equal_prior_posterior_approximation,ude_mm,0.010857231229671688
biochemical_haldane,4,gic_pred,predictive_support,haldane,0.5586433667021767
biochemical_haldane,4,gic_pred,predictive_support,mm,4.6531399123695264e-38
biochemical_haldane,4,gic_pred,predictive_support,neural_rate,1.2905200410548404e-05
biochemical_haldane,4,gic_pred,predictive_support,ude_mm,0.4413437280974128
biochemical_haldane,4,gic_evid,equal_prior_posterior_approximation,haldane,0.990759644443007
biochemical_haldane,4,gic_evid,equal_prior_posterior_approximation,mm,2.2951776840586494e-40
biochemical_haldane,4,gic_evid,equal_prior_posterior_approximation,neural_rate,2.3079789544584123e-21
biochemical_haldane,4,gic_evid,equal_prior_posterior_approximation,ude_mm,0.00924035555699303
biochemical_haldane,5,gic_pred,predictive_support,haldane,0.666386965217463
biochemical_haldane,5,gic_pred,predictive_support,mm,3.2664290948823486e-46
biochemical_haldane,5,gic_pred,predictive_support,neural_rate,5.486376647513859e-65
biochemical_haldane,5,gic_pred,predictive_support,ude_mm,0.33361303478253707
biochemical_haldane,5,gic_evid,equal_prior_posterior_approximation,haldane,0.9887795475361613
biochemical_haldane,5,gic_evid,equal_prior_posterior_approximation,mm,1.0144503553733677e-48
biochemical_haldane,5,gic_evid,equal_prior_posterior_approximation,neural_rate,1.7260528792637952e-86
biochemical_haldane,5,gic_evid,equal_prior_posterior_approximation,ude_mm,0.011220452463838657
biochemical_haldane,6,gic_pred,predictive_support,haldane,0.8617770931314146
biochemical_haldane,6,gic_pred,predictive_support,mm,5.679894440560302e-45
biochemical_haldane,6,gic_pred,predictive_support,neural_rate,0.0018888505877965233
biochemical_haldane,6,gic_pred,predictive_support,ude_mm,0.1363340562807888
biochemical_haldane,6,gic_evid,equal_prior_posterior_approximation,haldane,0.9973378664910744
biochemical_haldane,6,gic_evid,equal_prior_posterior_approximation,mm,4.88252103806465e-47
biochemical_haldane,6,gic_evid,equal_prior_posterior_approximation,neural_rate,1.1851326684608803e-19
biochemical_haldane,6,gic_evid,equal_prior_posterior_approximation,ude_mm,0.0026621335089257116
biochemical_haldane,7,gic_pred,predictive_support,haldane,0.7275483796009583
biochemical_haldane,7,gic_pred,predictive_support,mm,2.7203873193600858e-43
biochemical_haldane,7,gic_pred,predictive_support,neural_rate,0.00017843326837040235
biochemical_haldane,7,gic_pred,predictive_support,ude_mm,0.27227318713067117
biochemical_haldane,7,gic_evid,equal_prior_posterior_approximation,haldane,0.9913672222708572
biochemical_haldane,7,gic_evid,equal_prior_posterior_approximation,mm,8.587084787588851e-46
biochemical_haldane,7,gic_evid,equal_prior_posterior_approximation,neural_rate,2.0474888872366498e-20
biochemical_haldane,7,gic_evid,equal_prior_posterior_approximation,ude_mm,0.008632777729142924
biochemical_haldane,8,gic_pred,predictive_support,haldane,0.3047807593126278
biochemical_haldane,8,gic_pred,predictive_support,mm,1.1986569781085433e-33
biochemical_haldane,8,gic_pred,predictive_support,neural_rate,7.454392141193957e-05
biochemical_haldane,8,gic_pred,predictive_support,ude_mm,0.6951446967659604
biochemical_haldane,8,gic_evid,equal_prior_posterior_approximation,haldane,0.9501730983284897
biochemical_haldane,8,gic_evid,equal_prior_posterior_approximation,mm,5.2671354102741645e-36
biochemical_haldane,8,gic_evid,equal_prior_posterior_approximation,neural_rate,1.1896979580339888e-18
biochemical_haldane,8,gic_evid,equal_prior_posterior_approximation,ude_mm,0.0498269016715102
biochemical_haldane,9,gic_pred,predictive_support,haldane,0.6503403474259692
biochemical_haldane,9,gic_pred,predictive_support,mm,7.425942993475423e-36
biochemical_haldane,9,gic_pred,predictive_support,neural_rate,3.054621513621588e-05
biochemical_haldane,9,gic_pred,predictive_support,ude_mm,0.34962910635889444
biochemical_haldane,9,gic_evid,equal_prior_posterior_approximation,haldane,0.9859150053420196
biochemical_haldane,9,gic_evid,equal_prior_posterior_approximation,mm,1.0973888724354028e-38
biochemical_haldane,9,gic_evid,equal_prior_posterior_approximation,neural_rate,3.254272612887962e-22
biochemical_haldane,9,gic_evid,equal_prior_posterior_approximation,ude_mm,0.014084994657980451
biochemical_haldane,10,gic_pred,predictive_support,haldane,0.5473744199851085
biochemical_haldane,10,gic_pred,predictive_support,mm,2.1081473763277484e-43
biochemical_haldane,10,gic_pred,predictive_support,neural_rate,0.00018293198391494702
biochemical_haldane,10,gic_pred,predictive_support,ude_mm,0.45244264803097645
biochemical_haldane,10,gic_evid,equal_prior_posterior_approximation,haldane,0.9818434868537996
biochemical_haldane,10,gic_evid,equal_prior_posterior_approximation,mm,4.4298533230423575e-46
biochemical_haldane,10,gic_evid,equal_prior_posterior_approximation,neural_rate,2.476898541432026e-20
biochemical_haldane,10,gic_evid,equal_prior_posterior_approximation,ude_mm,0.018156513146200298
biochemical_haldane,11,gic_pred,predictive_support,haldane,0.4543045036661748
biochemical_haldane,11,gic_pred,predictive_support,mm,6.596935097470204e-36
biochemical_haldane,11,gic_pred,predictive_support,neural_rate,1.3594902698468963e-05
biochemical_haldane,11,gic_pred,predictive_support,ude_mm,0.5456819014311268
biochemical_haldane,11,gic_evid,equal_prior_posterior_approximation,haldane,0.9627404771052497
biochemical_haldane,11,gic_evid,equal_prior_posterior_approximation,mm,4.8190392106716054e-39
biochemical_haldane,11,gic_evid,equal_prior_posterior_approximation,neural_rate,5.928815520197901e-22
biochemical_haldane,11,gic_evid,equal_prior_posterior_approximation,ude_mm,0.037259522894750284
biochemical_haldane,12,gic_pred,predictive_support,haldane,0.43339894292275444
biochemical_haldane,12,gic_pred,predictive_support,mm,1.7681253765460251e-37
biochemical_haldane,12,gic_pred,predictive_support,neural_rate,3.4041876674321206e-05
biochemical_haldane,12,gic_pred,predictive_support,ude_mm,0.5665670152005712
biochemical_haldane,12,gic_evid,equal_prior_posterior_approximation,haldane,0.9673292404696677
biochemical_haldane,12,gic_evid,equal_prior_posterior_approximation,mm,3.0368417846441102e-40
biochemical_haldane,12,gic_evid,equal_prior_posterior_approximation,neural_rate,3.592621186808301e-20
biochemical_haldane,12,gic_evid,equal_prior_posterior_approximation,ude_mm,0.032670759530332244
biochemical_haldane,13,gic_pred,predictive_support,haldane,0.7247616900626999
biochemical_haldane,13,gic_pred,predictive_support,mm,3.101340754066822e-31
biochemical_haldane,13,gic_pred,predictive_support,neural_rate,0.0010537975169910474
biochemical_haldane,13,gic_pred,predictive_support,ude_mm,0.2741845124203089
biochemical_haldane,13,gic_evid,equal_prior_posterior_approximation,haldane,0.9936158422336986
biochemical_haldane,13,gic_evid,equal_prior_posterior_approximation,mm,9.977096072081647e-34
biochemical_haldane,13,gic_evid,equal_prior_posterior_approximation,neural_rate,2.4430181170223875e-19
