study,seed,criterion,truth,selected,correct,selection_gap,support_entropy
biochemical_haldane,0,aic,haldane,haldane,1,15.350024997059194,0.0041101347734743
biochemical_haldane,0,aicc,haldane,haldane,1,34.51486016189436,1.1094231835764435e-06
biochemical_haldane,0,bic,haldane,haldane,1,25.101031596004816,5.080129510649594e-05
biochemical_haldane,0,gic_pred,haldane,haldane,1,1.2488978145472913,0.6503740057984988
biochemical_haldane,0,gic_evid,haldane,haldane,1,9.701601969252607,0.04544067811748078
biochemical_haldane,0,gic_eff_logn,haldane,haldane,1,2.406142900415091,0.5425341842891783
biochemical_haldane,1,aic,haldane,haldane,1,16.20613956481759,0.002758700865921594
biochemical_haldane,1,aicc,haldane,haldane,1,35.37097472965276,4.1809676600146355e-07
biochemical_haldane,1,bic,haldane,haldane,1,25.957146163763213,3.243334466795501e-05
biochemical_haldane,1,gic_pred,haldane,haldane,1,1.1033230663010727,0.6567723244088621
biochemical_haldane,1,gic_evid,haldane,haldane,1,7.930546738794732,0.09257885418838013
biochemical_haldane,1,gic_eff_logn,haldane,haldane,1,1.6501007065155022,0.6149414294018495
biochemical_haldane,2,aic,haldane,haldane,1,16.8116166003731,0.0021342965650310497
biochemical_haldane,2,aicc,haldane,haldane,1,35.97645176520827,4.872336466333083e-07
biochemical_haldane,2,bic,haldane,haldane,1,26.562623199318722,2.5405367000055923e-05
biochemical_haldane,2,gic_pred,haldane,haldane,1,1.9265127287956432,0.5911370813090555
biochemical_haldane,2,gic_evid,haldane,haldane,1,8.812179954071183,0.06524737860867486
biochemical_haldane,2,gic_eff_logn,haldane,haldane,1,2.6059726978823505,0.5197737817409912
biochemical_haldane,3,aic,haldane,haldane,1,16.694494980756673,0.002247624307519547
biochemical_haldane,3,aicc,haldane,haldane,1,35.85933014559183,5.066817406017828e-07
biochemical_haldane,3,bic,haldane,haldane,1,26.445501579702295,2.6783530754548737e-05
biochemical_haldane,3,gic_pred,haldane,haldane,1,1.9382473863605583,0.589908718818063
biochemical_haldane,3,gic_evid,haldane,haldane,1,9.024014694250667,0.0599045081616053
biochemical_haldane,3,gic_eff_logn,haldane,haldane,1,2.696237256016701,0.5097652600848834
biochemical_haldane,4,aic,haldane,haldane,1,14.735264833636734,0.005284574406642439
biochemical_haldane,4,aicc,haldane,haldane,1,33.9000999984719,8.088793135529755e-07
biochemical_haldane,4,bic,haldane,haldane,1,24.486271432582356,6.39556216526023e-05
biochemical_haldane,4,gic_pred,haldane,haldane,1,0.4713745689630855,0.686400869881234
biochemical_haldane,4,gic_evid,haldane,haldane,1,9.349783202805753,0.05248097305932371
biochemical_haldane,4,gic_eff_logn,haldane,haldane,1,1.5294256618169015,0.625137765111689
biochemical_haldane,5,aic,haldane,haldane,1,15.995515475037848,0.0030242268418973197
biochemical_haldane,5,aicc,haldane,haldane,1,35.160350639873016,4.3060261760869817e-07
biochemical_haldane,5,bic,haldane,haldane,1,25.74652207398347,3.5595184747567126e-05
biochemical_haldane,5,gic_pred,haldane,haldane,1,1.3837775757062616,0.636707866566302
biochemical_haldane,5,gic_evid,haldane,haldane,1,8.957466353073329,0.061537289324227466
biochemical_haldane,5,gic_eff_logn,haldane,haldane,1,2.2298371322490027,0.558965136914515
biochemical_haldane,6,aic,haldane,haldane,1,17.867176416080042,0.0015632911186065673
biochemical_haldane,6,aicc,haldane,haldane,1,32.344557236490175,1.8040745727968754e-06
biochemical_haldane,6,bic,haldane,haldane,1,27.618183015025664,2.348554801342534e-05
biochemical_haldane,6,gic_pred,haldane,haldane,1,3.6877769488283434,0.4117089147904004
biochemical_haldane,6,gic_evid,haldane,haldane,1,11.851923446726346,0.01844138456410124
biochemical_haldane,6,gic_eff_logn,haldane,haldane,1,4.797319936882843,0.29342100045567077
biochemical_haldane,7,aic,haldane,haldane,1,16.719164561323055,0.002222137724766838
