scenario,seed,criterion,interpretation,candidate,weight
early_seir_infected_only,0,gic_pred,predictive_support,neural_ode_h2,0.05857250402132141
early_seir_infected_only,0,gic_pred,predictive_support,seir,0.3395486980600137
early_seir_infected_only,0,gic_pred,predictive_support,sir,0.2202031169785527
early_seir_infected_only,0,gic_pred,predictive_support,tv_sir,0.13087343231878162
early_seir_infected_only,0,gic_pred,predictive_support,ude_sir_h2,0.2508022486213305
early_seir_infected_only,0,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.5014958788759966e-06
early_seir_infected_only,0,gic_evid,equal_prior_posterior_approximation,seir,0.5944784700396516
early_seir_infected_only,0,gic_evid,equal_prior_posterior_approximation,sir,0.23366902718253532
early_seir_infected_only,0,gic_evid,equal_prior_posterior_approximation,tv_sir,0.033309248217795025
early_seir_infected_only,0,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.13854175306413913
early_seir_infected_only,1,gic_pred,predictive_support,neural_ode_h2,0.08390345389338436
early_seir_infected_only,1,gic_pred,predictive_support,seir,0.35859079844124875
early_seir_infected_only,1,gic_pred,predictive_support,sir,0.14854626977401775
early_seir_infected_only,1,gic_pred,predictive_support,tv_sir,0.13928544801355283
early_seir_infected_only,1,gic_pred,predictive_support,ude_sir_h2,0.2696740298777963
early_seir_infected_only,1,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.7438643663411635e-06
early_seir_infected_only,1,gic_evid,equal_prior_posterior_approximation,seir,0.675725556275609
early_seir_infected_only,1,gic_evid,equal_prior_posterior_approximation,sir,0.17880913520142744
early_seir_infected_only,1,gic_evid,equal_prior_posterior_approximation,tv_sir,0.043734190751699493
early_seir_infected_only,1,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.10172937390689758
early_seir_infected_only,2,gic_pred,predictive_support,neural_ode_h2,0.0900716736431178
early_seir_infected_only,2,gic_pred,predictive_support,seir,0.38607822395622554
early_seir_infected_only,2,gic_pred,predictive_support,sir,0.12595846408895991
early_seir_infected_only,2,gic_pred,predictive_support,tv_sir,0.1748023214496651
early_seir_infected_only,2,gic_pred,predictive_support,ude_sir_h2,0.22308931686203176
early_seir_infected_only,2,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.1355357861553464e-06
early_seir_infected_only,2,gic_evid,equal_prior_posterior_approximation,seir,0.7118177485281819
early_seir_infected_only,2,gic_evid,equal_prior_posterior_approximation,sir,0.156261538517279
early_seir_infected_only,2,gic_evid,equal_prior_posterior_approximation,tv_sir,0.0430686917152823
early_seir_infected_only,2,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.08884988570347047
early_seir_infected_only,3,gic_pred,predictive_support,neural_ode_h2,0.05574695207049872
early_seir_infected_only,3,gic_pred,predictive_support,seir,0.2188422843343813
early_seir_infected_only,3,gic_pred,predictive_support,sir,0.29192671955947114
early_seir_infected_only,3,gic_pred,predictive_support,tv_sir,0.14254526582951163
early_seir_infected_only,3,gic_pred,predictive_support,ude_sir_h2,0.2909387782061372
early_seir_infected_only,3,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0380376720262084e-05
early_seir_infected_only,3,gic_evid,equal_prior_posterior_approximation,seir,0.29735387554408144
early_seir_infected_only,3,gic_evid,equal_prior_posterior_approximation,sir,0.34215096300187475
early_seir_infected_only,3,gic_evid,equal_prior_posterior_approximation,tv_sir,0.027729889262242936
early_seir_infected_only,3,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.33275489181508067
early_seir_infected_only,4,gic_pred,predictive_support,neural_ode_h2,0.014104419630850209
early_seir_infected_only,4,gic_pred,predictive_support,seir,0.4813890159144802
early_seir_infected_only,4,gic_pred,predictive_support,sir,0.1860959815751471
early_seir_infected_only,4,gic_pred,predictive_support,tv_sir,0.13203961422400515
early_seir_infected_only,4,gic_pred,predictive_support,ude_sir_h2,0.18637096865551742
early_seir_infected_only,4,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.1696088893103132e-07
early_seir_infected_only,4,gic_evid,equal_prior_posterior_approximation,seir,0.579048793635216
early_seir_infected_only,4,gic_evid,equal_prior_posterior_approximation,sir,0.20113562468337887
early_seir_infected_only,4,gic_evid,equal_prior_posterior_approximation,tv_sir,0.022998873436668992
early_seir_infected_only,4,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.19681649128384737
early_seir_infected_only,5,gic_pred,predictive_support,neural_ode_h2,0.07824924084435711
early_seir_infected_only,5,gic_pred,predictive_support,seir,0.2640737694671809
early_seir_infected_only,5,gic_pred,predictive_support,sir,0.2805404676003499
early_seir_infected_only,5,gic_pred,predictive_support,tv_sir,0.09612307774588016
early_seir_infected_only,5,gic_pred,predictive_support,ude_sir_h2,0.281013444342232
early_seir_infected_only,5,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.878379259352732e-06
