scenario,criterion,recovery_rate,n,recovery_ci_low,recovery_ci_high,modal_selection,modal_frequency,mean_selection_gap,mean_support_entropy
early_seir_infected_only,aic,0.1125,80,0.060326869466304764,0.20018218092372875,sir,0.775,1.537188801445047,0.9207733588362448
early_seir_infected_only,aicc,0.05,80,0.01961355453554428,0.1216227620464301,sir,0.9,2.2490458415147714,0.7304124519512731
early_seir_infected_only,bic,0.0625,80,0.026989375670841982,0.13810148767274424,sir,0.85,2.0364593354462435,0.8059699624433294
early_seir_infected_only,gic_eff_logn,0.4375,80,0.33413860916143806,0.5465886570305026,seir,0.4375,0.45825932562008953,1.3977642528221885
early_seir_infected_only,gic_evid,0.825,80,0.7274245802116865,0.8927936355902206,seir,0.825,1.1800148794875316,1.1028923933442631
early_seir_infected_only,gic_pred,0.4875,80,0.38107879540381073,0.5950666578345774,seir,0.4875,0.46228977137774374,1.4443853476195296
missing_neural_feedback,aic,0.0,80,0.0,0.0458181295355271,tv_sir,1.0,12.113301903165905,0.04195617208371771
missing_neural_feedback,aicc,0.0,80,0.0,0.0458181295355271,tv_sir,1.0,21.533273107814857,0.0004403973481423476
missing_neural_feedback,bic,0.0,80,0.0,0.0458181295355271,tv_sir,1.0,23.496474729585344,0.00020694659516336017
missing_neural_feedback,gic_eff_logn,0.65,80,0.5408000664880767,0.7454544946512652,ude_sir_h2,0.65,1.525779876845115,0.8020502302203898
missing_neural_feedback,gic_evid,0.2625,80,0.1785740148850936,0.36818959664428175,tv_sir,0.7375,1.5313887120492287,0.6014812818164549
missing_neural_feedback,gic_pred,0.6,80,0.4904546500516039,0.7003817240412906,ude_sir_h2,0.6,1.6418675304145307,0.8443441330144138
missing_time_varying_transmission,aic,1.0,80,0.9541818704644728,0.9999999999999999,tv_sir,1.0,14.738454121276794,0.0073113860079861105
missing_time_varying_transmission,aicc,1.0,80,0.9541818704644728,0.9999999999999999,tv_sir,1.0,23.736671577432173,0.00033526230204788867
missing_time_varying_transmission,bic,1.0,80,0.9541818704644728,0.9999999999999999,tv_sir,1.0,25.334014155461542,0.00040809183089393516
missing_time_varying_transmission,gic_eff_logn,0.8375,80,0.7415709565930229,0.9025018059704963,tv_sir,0.8375,2.1468389721030867,0.5843174002715091
missing_time_varying_transmission,gic_evid,0.975,80,0.9133556701442198,0.9931171067970292,tv_sir,0.975,3.547134463646782,0.4201544229189114
missing_time_varying_transmission,gic_pred,0.7875,80,0.6857784426940333,0.8628761328230384,tv_sir,0.7875,1.8402727377534724,0.6575780976878103
noisy_sir_overfit_risk,aic,0.7875,80,0.6857784426940333,0.8628761328230384,sir,0.7875,1.3984327089336495,0.9091824458352958
noisy_sir_overfit_risk,aicc,0.8375,80,0.7415709565930229,0.9025018059704963,sir,0.8375,1.7955149954100875,0.8154588707488966
noisy_sir_overfit_risk,bic,0.9125,80,0.8302320449152499,0.9569679982179401,sir,0.9125,2.5104278961498374,0.6811874902163841
noisy_sir_overfit_risk,gic_eff_logn,0.7125,80,0.6053965378701002,0.8001307570773007,sir,0.7125,1.193892024427612,1.2605456880919117
noisy_sir_overfit_risk,gic_evid,0.6625,80,0.5535652339817697,0.756543873919184,sir,0.6625,0.8212171902708845,1.1934676436056002
noisy_sir_overfit_risk,gic_pred,0.6,80,0.4904546500516039,0.7003817240412906,sir,0.6,0.67941414013683,1.3679978341494934
regular_sir_full,aic,0.875,80,0.7849719790084033,0.9306644238399513,sir,0.875,2.691888592677948,0.5030502746148006
regular_sir_full,aicc,0.9375,80,0.8618985123272557,0.973010624329158,sir,0.9375,2.9626635528123146,0.4705139901431604
regular_sir_full,bic,0.9875,80,0.9325372992233133,0.9977900244795476,sir,0.9875,7.341895574448442,0.13532605411367835
regular_sir_full,gic_eff_logn,0.9875,80,0.9325372992233133,0.9977900244795476,sir,0.9875,5.119485547629947,0.3857372460731735
regular_sir_full,gic_evid,1.0,80,0.9541818704644728,0.9999999999999999,sir,1.0,5.62514279443987,0.2804716771727848
regular_sir_full,gic_pred,0.825,80,0.7274245802116865,0.8927936355902206,sir,0.825,1.7036374937308651,0.9225668463314538
