scenario,seed,criterion,truth,selected,correct
early_seir_infected_only,0,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,0,gic_evid,seir,seir,1
early_seir_infected_only,0,bic,seir,sir,0
early_seir_infected_only,1,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,1,gic_evid,seir,seir,1
early_seir_infected_only,1,bic,seir,sir,0
early_seir_infected_only,2,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,2,gic_evid,seir,seir,1
early_seir_infected_only,2,bic,seir,sir,0
early_seir_infected_only,3,minus2_log_evidence_is,seir,sir,0
early_seir_infected_only,3,gic_evid,seir,sir,0
early_seir_infected_only,3,bic,seir,sir,0
early_seir_infected_only,4,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,4,gic_evid,seir,seir,1
early_seir_infected_only,4,bic,seir,sir,0
early_seir_infected_only,5,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,5,gic_evid,seir,seir,1
early_seir_infected_only,5,bic,seir,sir,0
early_seir_infected_only,6,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,6,gic_evid,seir,seir,1
early_seir_infected_only,6,bic,seir,seir,1
early_seir_infected_only,7,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,7,gic_evid,seir,seir,1
early_seir_infected_only,7,bic,seir,sir,0
early_seir_infected_only,8,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,8,gic_evid,seir,seir,1
early_seir_infected_only,8,bic,seir,sir,0
early_seir_infected_only,9,minus2_log_evidence_is,seir,sir,0
early_seir_infected_only,9,gic_evid,seir,sir,0
early_seir_infected_only,9,bic,seir,sir,0
early_seir_infected_only,10,minus2_log_evidence_is,seir,sir,0
early_seir_infected_only,10,gic_evid,seir,seir,1
early_seir_infected_only,10,bic,seir,sir,0
early_seir_infected_only,11,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,11,gic_evid,seir,seir,1
early_seir_infected_only,11,bic,seir,sir,0
early_seir_infected_only,12,minus2_log_evidence_is,seir,sir,0
early_seir_infected_only,12,gic_evid,seir,sir,0
early_seir_infected_only,12,bic,seir,sir,0
early_seir_infected_only,13,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,13,gic_evid,seir,seir,1
early_seir_infected_only,13,bic,seir,sir,0
early_seir_infected_only,14,minus2_log_evidence_is,seir,sir,0
early_seir_infected_only,14,gic_evid,seir,seir,1
early_seir_infected_only,14,bic,seir,sir,0
early_seir_infected_only,15,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,15,gic_evid,seir,seir,1
early_seir_infected_only,15,bic,seir,sir,0
early_seir_infected_only,16,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,16,gic_evid,seir,seir,1
early_seir_infected_only,16,bic,seir,sir,0
early_seir_infected_only,17,minus2_log_evidence_is,seir,seir,1
early_seir_infected_only,17,gic_evid,seir,seir,1
