scenario,candidate,n_fits,new_response_draws_per_fit,mean_empirical_optimism,se_empirical_optimism,mean_predicted_optimism,mean_calibration_residual,residual_ci_low,residual_ci_high,mean_ratio_empirical_to_predicted
early_seir_infected_only,neural_ode_h2,80,200,4.008871227853268,0.6813192649223407,4.607629053688824,-0.5987578258355558,-1.9393063432044233,0.7417906915333118,0.8700507747349591
early_seir_infected_only,seir,80,200,3.1118282760477234,0.6232418162837712,3.1365917081513266,-0.024763432103603062,-1.217553583218041,1.168026719010835,0.9921049870662961
early_seir_infected_only,sir,80,200,2.475044952160568,0.7030894091581946,2.7528255292595167,-0.2777805770989484,-1.6095590100539967,1.0539978558561,0.8990925599365286
early_seir_infected_only,tv_sir,80,200,5.694650326852491,0.5876148975146157,5.545250565164997,0.14939976168749297,-0.9988434257288983,1.2976429491038841,1.0269419316461579
early_seir_infected_only,ude_sir_h2,80,200,3.6327943164263607,0.6137324812920099,3.191125192457222,0.4416691239691387,-0.7516082030013685,1.6349464509396459,1.138405451786442
missing_neural_feedback,neural_ode_h2,80,200,10.816179354268636,0.8916384928761051,9.781146994533302,1.0350323597353348,-0.7280965180130865,2.798161237483756,1.1058191192008273
missing_neural_feedback,seir,80,200,6.048385750581862,2.251742683173038,5.296467480702303,0.7519182698795592,-3.661630842534966,5.165467382294085,1.1419659938665112
missing_neural_feedback,sir,80,200,6.90734612560197,3.0863292684223826,3.9993412483049298,2.90800487729704,-3.141089533244712,8.957099287838792,1.7271209673667036
missing_neural_feedback,tv_sir,80,200,8.476260591275615,0.9632605445126163,7.616859853781842,0.859400737493772,-1.029061862678499,2.7478633376660433,1.1128287449147527
missing_neural_feedback,ude_sir_h2,80,200,8.204247665154426,0.9361785191187738,7.724558790683031,0.47968887447139485,-1.357334514871658,2.3167122638144475,1.0620991939436037
missing_time_varying_transmission,neural_ode_h2,80,200,10.245716473804404,0.9681440322307169,10.141638820888096,0.10407765291631092,-1.7960024188132913,2.0041577246459132,1.0102624097302644
missing_time_varying_transmission,seir,80,200,3.920056668809866,1.7493973111961536,5.246098747668405,-1.326042078858539,-4.754602957152753,2.102518799435675,0.7472327261380869
missing_time_varying_transmission,sir,80,200,4.155379613388403,2.745906391654079,3.9995258062472097,0.15585380714119346,-5.226023807917767,5.537731422200154,1.038968071389301
missing_time_varying_transmission,tv_sir,80,200,7.352206194319878,0.9525020364536116,6.961778394645643,0.39042779967423696,-1.4783721760396227,2.2592277753880965,1.0560816184517616
missing_time_varying_transmission,ude_sir_h2,80,200,7.411906727634891,0.9662855561972242,7.564542020230329,-0.15263529259543668,-2.037728932972124,1.7324583477812507,0.9798222691886388
noisy_sir_overfit_risk,neural_ode_h2,80,200,6.202315063308027,1.0846023790174488,6.92402661568578,-0.721711552377753,-2.866735565620607,1.4233124608651013,0.8957670742133228
noisy_sir_overfit_risk,seir,80,200,5.574240815959287,0.9773904669481882,5.310935695118589,0.2633051208406979,-1.6703967365876817,2.1970069782690778,1.049577915447688
noisy_sir_overfit_risk,sir,80,200,3.1889960086013813,0.9052832683178282,3.994015355371323,-0.8050193467699411,-2.5793482678661124,0.9693095743262301,0.7984436024545281
noisy_sir_overfit_risk,tv_sir,80,200,5.765441693231637,0.9928056547702699,6.021061735943898,-0.25562004271226185,-2.2034794108660583,1.6922393254415347,0.9575456864714925
noisy_sir_overfit_risk,ude_sir_h2,80,200,5.15229741112117,0.963558135772795,5.367744259809994,-0.2154468486888245,-2.0925507106212566,1.6616570132436077,0.9598626837902947
regular_sir_full,neural_ode_h2,80,200,12.719800051005539,1.7973035613631863,15.353029412519035,-2.6332293615134987,-6.153359213894837,0.8869004908678395,0.8284879621629376
regular_sir_full,seir,80,200,5.673802610203031,2.366429489183816,5.9810980201856205,-0.30729540998259014,-4.945398076675374,4.330807256710194,0.9486222414437119
regular_sir_full,sir,80,200,4.492957286504378,1.5331713613578293,3.9998796857590646,0.4930776007453135,-2.51188303256067,3.4980382340512968,1.1232731080639344
regular_sir_full,tv_sir,80,200,7.617063184535823,1.6027015152727628,7.9803951889948594,-0.3633320044590353,-3.5045881853985703,2.7779241764805,0.9544719282874513
regular_sir_full,ude_sir_h2,80,200,7.799312814409622,1.5728510990136266,7.339363817380819,0.4599489970288033,-2.6915666427275142,3.611464636785121,1.0626687828091541
