n_times,noise,trajectories,seed,criterion,interpretation,candidate,weight
10,0.005,1,0,gic_pred,predictive_support,neural_ode_h2,0.7786194866727312
10,0.005,1,0,gic_pred,predictive_support,sir,1.348318576805916e-90
10,0.005,1,0,gic_pred,predictive_support,tv_sir,0.021573750272132035
10,0.005,1,0,gic_pred,predictive_support,ude_sir_h2,0.19980676305513692
10,0.005,1,0,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.2120212355893882e-07
10,0.005,1,0,gic_evid,equal_prior_posterior_approximation,sir,6.130984153811409e-88
10,0.005,1,0,gic_evid,equal_prior_posterior_approximation,tv_sir,0.29376477350225444
10,0.005,1,0,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.706235005295622
10,0.005,1,1,gic_pred,predictive_support,neural_ode_h2,0.23707716153105315
10,0.005,1,1,gic_pred,predictive_support,sir,3.6814353632882484e-73
10,0.005,1,1,gic_pred,predictive_support,tv_sir,0.12356686582884041
10,0.005,1,1,gic_pred,predictive_support,ude_sir_h2,0.6393559726401066
10,0.005,1,1,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.912092214136474e-08
10,0.005,1,1,gic_evid,equal_prior_posterior_approximation,sir,3.5304158533168507e-71
10,0.005,1,1,gic_evid,equal_prior_posterior_approximation,tv_sir,0.32295392457394495
10,0.005,1,1,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.6770460363051329
10,0.005,1,2,gic_pred,predictive_support,neural_ode_h2,0.3019736269243901
10,0.005,1,2,gic_pred,predictive_support,sir,1.9686760779206313e-77
10,0.005,1,2,gic_pred,predictive_support,tv_sir,0.08824492578625816
10,0.005,1,2,gic_pred,predictive_support,ude_sir_h2,0.6097814472893518
10,0.005,1,2,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.6181750308415505e-08
10,0.005,1,2,gic_evid,equal_prior_posterior_approximation,sir,2.0744707936923544e-75
10,0.005,1,2,gic_evid,equal_prior_posterior_approximation,tv_sir,0.3207456286654016
10,0.005,1,2,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.6792543251528481
10,0.005,1,3,gic_pred,predictive_support,neural_ode_h2,0.9097546390095419
10,0.005,1,3,gic_pred,predictive_support,sir,1.311406647861694e-72
10,0.005,1,3,gic_pred,predictive_support,tv_sir,0.03997399437547048
