n_times,noise,trajectories,criterion,recovery_rate,n,recovery_ci_low,recovery_ci_high,modal_selection,modal_frequency,mean_selection_gap,mean_support_entropy
10,0.005,1,aic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,8.417873685270157,0.16030312500056193
10,0.005,1,aicc,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,356.18803292168235,1.1658954684974307e-68
10,0.005,1,bic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,10.717520392024902,0.0683175293781964
10,0.005,1,gic_eff_logn,0.5,20,0.2992980081982123,0.7007019918017877,neural_ode_h2,0.5,2.661208400578276,0.6439145098966671
10,0.005,1,gic_evid,0.8,20,0.5839825677481064,0.919342337420202,ude_sir_h2,0.8,2.459566845399035,0.5186414413063571
10,0.005,1,gic_pred,0.5,20,0.2992980081982123,0.7007019918017877,neural_ode_h2,0.5,2.7450166435055414,0.6367877934110983
10,0.005,2,aic,0.9,20,0.6989663547715128,0.9721335187862319,ude_sir_h2,0.9,15.44904438463197,0.09443971298098028
10,0.005,2,aicc,0.1,20,0.027866481213768224,0.3010336452284873,tv_sir,0.9,17.584654692436136,0.01198340046184721
10,0.005,2,bic,0.8,20,0.5839825677481064,0.919342337420202,ude_sir_h2,0.8,10.172209279224457,0.17623681182350764
10,0.005,2,gic_eff_logn,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,21.231663139682237,0.028521615480170893
10,0.005,2,gic_evid,0.8,20,0.5839825677481064,0.919342337420202,ude_sir_h2,0.8,8.335566165085705,0.23938895407945995
10,0.005,2,gic_pred,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,22.865268863543893,0.011453032179791413
10,0.005,4,aic,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,82.35255211784968,1.4619835188782341e-06
10,0.005,4,aicc,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,88.99233043684349,4.625993975779996e-08
10,0.005,4,bic,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,86.5643750593571,1.3695134611011476e-07
10,0.005,4,gic_eff_logn,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,78.211319933969,1.2423055037582341e-06
10,0.005,4,gic_evid,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,137.84262957502253,2.1095313834553066e-21
10,0.005,4,gic_pred,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,77.36032037877584,4.773786170324111e-06
10,0.015,1,aic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,13.813574369670055,0.009965815657086246
10,0.015,1,aicc,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,30.072026703834723,0.0002383062720803731
10,0.015,1,bic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,15.931670020628374,0.0037541991014369766
10,0.015,1,gic_eff_logn,0.4,20,0.21880653237281705,0.6134184992377469,ude_sir_h2,0.4,0.6939489010843509,0.9554636453177021
10,0.015,1,gic_evid,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,1.7758952138348434,0.5858902689621525
10,0.015,1,gic_pred,0.3,20,0.1454772448676043,0.5189728183535235,neural_ode_h2,0.4,0.716502400384402,0.9548292738353528
10,0.015,2,aic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,11.881040625553709,0.0996012057044252
10,0.015,2,aicc,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,42.2226311433733,2.548102164731147e-07
10,0.015,2,bic,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,18.85942372491791,0.010828489058747042
10,0.015,2,gic_eff_logn,0.05,20,0.008881448800795402,0.23613119344674205,tv_sir,0.9,3.169659217543569,0.48066123291805923
10,0.015,2,gic_evid,0.0,20,0.0,0.16112515805281938,tv_sir,1.0,13.982116282436134,0.02194914260553036
10,0.015,2,gic_pred,0.15,20,0.052368745896216595,0.36041886474075696,tv_sir,0.8,2.111170149655424,0.5886715265518034
10,0.015,4,aic,0.65,20,0.43285427668523624,0.818808175898918,ude_sir_h2,0.65,8.312786706522903,0.2647005466250548
10,0.015,4,aicc,0.35,20,0.18119182410108206,0.5671457233147638,tv_sir,0.65,8.09015787399482,0.24094870228859894
10,0.015,4,bic,0.2,20,0.08065766257979806,0.41601743225189364,tv_sir,0.8,9.554305675548896,0.19551109785422466
10,0.015,4,gic_eff_logn,0.95,20,0.763868806553258,0.9911185511992047,ude_sir_h2,0.95,11.081350716051997,0.20283498345083148
10,0.015,4,gic_evid,0.35,20,0.18119182410108206,0.5671457233147638,tv_sir,0.65,6.901733463354316,0.26974262348411165
10,0.015,4,gic_pred,1.0,20,0.8388748419471806,1.0,ude_sir_h2,1.0,14.441967565369378,0.08380993115286534
10,0.045,1,aic,0.0,20,0.0,0.16112515805281938,tv_sir,0.5,2.749147928009779,0.533013618046231
10,0.045,1,aicc,0.0,20,0.0,0.16112515805281938,sir,0.95,6.313452336772943,0.21609000015925034
10,0.045,1,bic,0.0,20,0.0,0.16112515805281938,sir,0.55,2.817383821857632,0.5206318362402022
10,0.045,1,gic_eff_logn,0.25,20,0.11186170140766569,0.468700877618744,tv_sir,0.45,0.4848570672263747,1.1747671529657064
10,0.045,1,gic_evid,0.0,20,0.0,0.16112515805281938,sir,0.55,1.5680502068378617,0.9286893094955341
10,0.045,1,gic_pred,0.25,20,0.11186170140766569,0.468700877618744,tv_sir,0.5,0.46134318715920364,1.1728940095461684
10,0.045,2,aic,0.0,20,0.0,0.16112515805281938,tv_sir,0.95,9.743048321533388,0.18766058807112193
10,0.045,2,aicc,0.0,20,0.0,0.16112515805281938,tv_sir,0.8,9.819086877830417,0.21592455837057614
10,0.045,2,bic,0.0,20,0.0,0.16112515805281938,tv_sir,0.8,9.628668174731619,0.21629135660079463
10,0.045,2,gic_eff_logn,0.05,20,0.008881448800795402,0.23613119344674205,tv_sir,0.85,3.4094532210502626,0.5926059026742824
10,0.045,2,gic_evid,0.0,20,0.0,0.16112515805281938,tv_sir,0.8,8.15247000786636,0.3328820798447824
10,0.045,2,gic_pred,0.05,20,0.008881448800795402,0.23613119344674205,tv_sir,0.85,3.3041022601990035,0.595081318916977
