n_times,noise,trajectories,seed,criterion,truth,selected,correct,selection_gap,support_entropy
10,0.005,1,0,aic,ude_sir_h2,tv_sir,0,9.372913225053694,0.09311954537529718
10,0.005,1,0,aicc,ude_sir_h2,tv_sir,0,399.7453446891682,3.141627838340102e-85
10,0.005,1,0,bic,ude_sir_h2,tv_sir,0,11.49100887601201,0.0330449522464936
10,0.005,1,0,gic_pred,ude_sir_h2,neural_ode_h2,0,2.7203434958645687,0.5993687730154653
10,0.005,1,0,gic_evid,ude_sir_h2,ude_sir_h2,1,1.7543373876561432,0.6054918036598196
10,0.005,1,0,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,2.3044786517304345,0.6561476434843895
10,0.005,1,1,aic,ude_sir_h2,tv_sir,0,10.637107039679378,0.033977139072721985
10,0.005,1,1,aicc,ude_sir_h2,tv_sir,0,322.9609673770279,1.1968426046476986e-68
10,0.005,1,1,bic,ude_sir_h2,tv_sir,0,12.755202690637695,0.0133333472306986
10,0.005,1,1,gic_pred,ude_sir_h2,ude_sir_h2,1,1.9841514254485588,0.885596651527309
10,0.005,1,1,gic_evid,ude_sir_h2,ude_sir_h2,1,1.4804592127630656,0.6290767164102813
10,0.005,1,1,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,2.3986226874727663,0.8571615436412412
10,0.005,1,2,aic,ude_sir_h2,tv_sir,0,9.960855922570389,0.04534173045616066
10,0.005,1,2,aicc,ude_sir_h2,tv_sir,0,341.89951788921354,9.77983438593541e-73
10,0.005,1,2,bic,ude_sir_h2,tv_sir,0,12.078951573528705,0.01791394981171448
10,0.005,1,2,gic_pred,ude_sir_h2,ude_sir_h2,1,1.4055218486795837,0.8774460004754312
10,0.005,1,2,gic_evid,ude_sir_h2,ude_sir_h2,1,1.5006944818081962,0.6274310228351492
10,0.005,1,2,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,1.7529228195652706,0.8600804032198602
10,0.005,1,3,aic,ude_sir_h2,tv_sir,0,10.89468073898469,0.03663934239671934
10,0.005,1,3,aicc,ude_sir_h2,tv_sir,0,318.1940962395179,1.2784744004020998e-67
10,0.005,1,3,bic,ude_sir_h2,tv_sir,0,13.920531668925143,0.011106637835598133
10,0.005,1,3,gic_pred,ude_sir_h2,neural_ode_h2,0,5.791478545719613,0.3650696810736388
10,0.005,1,3,gic_evid,ude_sir_h2,tv_sir,0,1.4084168619760575,0.6348102276640619
10,0.005,1,3,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,5.3648900973314255,0.42059205862211935
10,0.005,1,4,aic,ude_sir_h2,tv_sir,0,11.361009009035328,0.02310926895453896
10,0.005,1,4,aicc,ude_sir_h2,tv_sir,0,365.3341897322253,8.518222819795824e-78
10,0.005,1,4,bic,ude_sir_h2,tv_sir,0,13.479104659993645,0.009244440296625493
10,0.005,1,4,gic_pred,ude_sir_h2,ude_sir_h2,1,2.4506131875557458,0.6813932878429148
10,0.005,1,4,gic_evid,ude_sir_h2,tv_sir,0,0.00397225395398948,0.6931467112739198
10,0.005,1,4,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,2.422113029974497,0.6647207263152258
10,0.005,1,5,aic,ude_sir_h2,tv_sir,0,7.66165397051077,0.14580520206714487
10,0.005,1,5,aicc,ude_sir_h2,tv_sir,0,354.2697216405136,2.0874276579971853e-75
10,0.005,1,5,bic,ude_sir_h2,tv_sir,0,10.687504900451223,0.048342448506732354
10,0.005,1,5,gic_pred,ude_sir_h2,neural_ode_h2,0,5.382963289170405,0.2818597267794054
10,0.005,1,5,gic_evid,ude_sir_h2,ude_sir_h2,1,2.0399293529593976,0.5782925448463495
10,0.005,1,5,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,4.973745903525582,0.32402031812679066
10,0.005,1,6,aic,ude_sir_h2,tv_sir,0,13.345819287878527,0.010477050084033109
10,0.005,1,6,aicc,ude_sir_h2,tv_sir,0,341.1837823656524,1.3958584683618178e-72
10,0.005,1,6,bic,ude_sir_h2,tv_sir,0,15.463914938836844,0.004026088444441507
10,0.005,1,6,gic_pred,ude_sir_h2,ude_sir_h2,1,0.5021729827066252,0.9991000921473332
10,0.005,1,6,gic_evid,ude_sir_h2,tv_sir,0,1.569813595039058,0.6216869534183052
10,0.005,1,6,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,0.47917534623623226,0.9704416517992815
10,0.005,1,7,aic,ude_sir_h2,tv_sir,0,7.544942846124357,0.12219577621250502
10,0.005,1,7,aicc,ude_sir_h2,tv_sir,0,332.796746255746,9.020982260160562e-71
10,0.005,1,7,bic,ude_sir_h2,tv_sir,0,9.663038497082674,0.05017325327086693
10,0.005,1,7,gic_pred,ude_sir_h2,ude_sir_h2,1,1.0131911029885998,0.7703423474037041
10,0.005,1,7,gic_evid,ude_sir_h2,ude_sir_h2,1,3.7093674728222368,0.3963862371125767
10,0.005,1,7,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,1.3537769689592665,0.7545076507347808
10,0.005,1,8,aic,ude_sir_h2,tv_sir,0,7.112699834939704,0.17739855537380728
10,0.005,1,8,aicc,ude_sir_h2,tv_sir,0,319.43904475836536,6.8873282400185364e-68
10,0.005,1,8,bic,ude_sir_h2,tv_sir,0,9.230795485898021,0.06971458051828974
10,0.005,1,8,gic_pred,ude_sir_h2,neural_ode_h2,0,1.782726692386703,0.6565232183919154
10,0.005,1,8,gic_evid,ude_sir_h2,ude_sir_h2,1,3.9458296252240785,0.3710566670620242
10,0.005,1,8,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,1.4800728929619282,0.6882107667854579
10,0.005,1,9,aic,ude_sir_h2,tv_sir,0,11.454868851530378,0.022749319125546796
10,0.005,1,9,aicc,ude_sir_h2,tv_sir,0,459.41528335941877,3.984870484400889e-98
10,0.005,1,9,bic,ude_sir_h2,tv_sir,0,13.572964502488695,0.00901285547749532
10,0.005,1,9,gic_pred,ude_sir_h2,ude_sir_h2,1,2.3509221000957865,0.8131263808433812
10,0.005,1,9,gic_evid,ude_sir_h2,tv_sir,0,0.5936447279542847,0.6822544304598943
10,0.005,1,9,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,2.3215397186145452,0.7859569081878325
10,0.005,1,10,aic,ude_sir_h2,tv_sir,0,5.156174015572944,0.3519900324100745
10,0.005,1,10,aicc,ude_sir_h2,tv_sir,0,368.54003930300996,1.7298241951105566e-78
10,0.005,1,10,bic,ude_sir_h2,tv_sir,0,7.274269666531261,0.14992199139390694
10,0.005,1,10,gic_pred,ude_sir_h2,neural_ode_h2,0,1.07788478403684,0.6882876885611148
10,0.005,1,10,gic_evid,ude_sir_h2,ude_sir_h2,1,4.714499204047911,0.29434813092115064
10,0.005,1,10,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,0.6920713172289084,0.7123322647383341
10,0.005,1,11,aic,ude_sir_h2,tv_sir,0,5.226490267827529,0.28799885960502886
10,0.005,1,11,aicc,ude_sir_h2,tv_sir,0,326.6087048908805,1.9535234193267877e-69
10,0.005,1,11,bic,ude_sir_h2,tv_sir,0,7.344585918785846,0.12762334414327484
10,0.005,1,11,gic_pred,ude_sir_h2,ude_sir_h2,1,0.7654673812676691,0.7212371277789063
10,0.005,1,11,gic_evid,ude_sir_h2,ude_sir_h2,1,4.787588202944505,0.2875942044528241
10,0.005,1,11,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,1.0910247581608274,0.707216404149364
10,0.005,1,12,aic,ude_sir_h2,tv_sir,0,10.289899174032158,0.05179986820622476
10,0.005,1,12,aicc,ude_sir_h2,tv_sir,0,359.14449801387536,1.849278732948274e-76
10,0.005,1,12,bic,ude_sir_h2,tv_sir,0,12.407994824990475,0.01889495466865322
10,0.005,1,12,gic_pred,ude_sir_h2,neural_ode_h2,0,1.4697722369229922,0.8051129076461423
10,0.005,1,12,gic_evid,ude_sir_h2,ude_sir_h2,1,0.6736906145599661,0.6791644211746488
10,0.005,1,12,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,1.063616260716671,0.8499176554211574
10,0.005,1,13,aic,ude_sir_h2,tv_sir,0,7.675469126725545,0.13349533023227858
10,0.005,1,13,aicc,ude_sir_h2,tv_sir,0,379.09592794363107,9.07996793508718e-81
10,0.005,1,13,bic,ude_sir_h2,tv_sir,0,9.793564777683862,0.05252362783272963
10,0.005,1,13,gic_pred,ude_sir_h2,neural_ode_h2,0,0.8344872255967175,0.7509764600142002
10,0.005,1,13,gic_evid,ude_sir_h2,ude_sir_h2,1,3.206560722184605,0.4519418540377428
10,0.005,1,13,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,0.48366108411458697,0.7720192630079241
10,0.005,1,14,aic,ude_sir_h2,tv_sir,0,8.763477678116047,0.13018801276369382
10,0.005,1,14,aicc,ude_sir_h2,tv_sir,0,358.93923513647417,2.0479830513890876e-76
10,0.005,1,14,bic,ude_sir_h2,tv_sir,0,10.881573329074364,0.04617740612149347
10,0.005,1,14,gic_pred,ude_sir_h2,neural_ode_h2,0,3.2373947405069003,0.5129169293434127
10,0.005,1,14,gic_evid,ude_sir_h2,ude_sir_h2,1,2.0970906074987283,0.5725446492438866
10,0.005,1,14,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,2.827717929397849,0.5678849079375193
10,0.005,1,15,aic,ude_sir_h2,tv_sir,0,5.956176800225691,0.2020971784904969
10,0.005,1,15,aicc,ude_sir_h2,tv_sir,0,333.85531866552594,5.330488104074848e-71
10,0.005,1,15,bic,ude_sir_h2,tv_sir,0,8.074272451184008,0.08977224516192311
10,0.005,1,15,gic_pred,ude_sir_h2,ude_sir_h2,1,3.992887303811642,0.45360505362616
10,0.005,1,15,gic_evid,ude_sir_h2,ude_sir_h2,1,4.157827210142216,0.34894113272847277
10,0.005,1,15,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,4.354167355413992,0.42087665774571825
10,0.005,1,16,aic,ude_sir_h2,tv_sir,0,9.196840375209788,0.06230968754340812
10,0.005,1,16,aicc,ude_sir_h2,tv_sir,0,387.85920897766295,1.1616813164080993e-82
10,0.005,1,16,bic,ude_sir_h2,tv_sir,0,11.314936026168105,0.024874443588419868
10,0.005,1,16,gic_pred,ude_sir_h2,ude_sir_h2,1,1.734357032840677,0.8102644831299635
10,0.005,1,16,gic_evid,ude_sir_h2,ude_sir_h2,1,1.6545792942080482,0.6143965984495614
10,0.005,1,16,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,2.14140414924438,0.7828858031236996
10,0.005,1,17,aic,ude_sir_h2,tv_sir,0,10.692588676210491,0.0310918343526218
10,0.005,1,17,aicc,ude_sir_h2,tv_sir,0,376.2634025897562,3.714516051895618e-80
10,0.005,1,17,bic,ude_sir_h2,tv_sir,0,12.810684327168808,0.012468655712250146
10,0.005,1,17,gic_pred,ude_sir_h2,ude_sir_h2,1,3.1218662278538005,0.7019036903954358
10,0.005,1,17,gic_evid,ude_sir_h2,ude_sir_h2,1,0.5910554482335257,0.682348197583309
10,0.005,1,17,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,3.0937946377996326,0.6757302281811963
10,0.005,1,18,aic,ude_sir_h2,tv_sir,0,4.399686966773302,0.4938182443714241
10,0.005,1,18,aicc,ude_sir_h2,tv_sir,0,321.7004137024416,2.2390530076767016e-68
10,0.005,1,18,bic,ude_sir_h2,tv_sir,0,7.425537896713756,0.19860058768276373
10,0.005,1,18,gic_pred,ude_sir_h2,neural_ode_h2,0,5.0320897833123865,0.2771402656952647
10,0.005,1,18,gic_evid,ude_sir_h2,ude_sir_h2,1,4.4325136279028,0.3213759221880997
10,0.005,1,18,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,4.659550072471774,0.31298534423891444
10,0.005,1,19,aic,ude_sir_h2,tv_sir,0,1.6541198984024135,0.7504605229175124
10,0.005,1,19,aicc,ude_sir_h2,tv_sir,0,356.5152149035408,6.835224755829878e-76
10,0.005,1,19,bic,ude_sir_h2,tv_sir,0,4.679970828342867,0.379580777619557
10,0.005,1,19,gic_pred,ude_sir_h2,neural_ode_h2,0,8.250041483345015,0.0844851025308681
10,0.005,1,19,gic_evid,ude_sir_h2,ude_sir_h2,1,4.869467004101885,0.28054040060506646
10,0.005,1,19,gic_eff_logn,ude_sir_h2,neural_ode_h2,0,7.965822330644954,0.09460199847253647
10,0.005,2,0,aic,ude_sir_h2,ude_sir_h2,1,10.03484319479449,0.03971429588427886
10,0.005,2,0,aicc,ude_sir_h2,tv_sir,0,20.298490138538853,0.00043598155019946606
10,0.005,2,0,bic,ude_sir_h2,ude_sir_h2,1,3.0647172799165503,0.4678319868982931
10,0.005,2,0,gic_pred,ude_sir_h2,ude_sir_h2,1,19.038098391351156,0.0012715294659651265
10,0.005,2,0,gic_evid,ude_sir_h2,ude_sir_h2,1,0.7016518486305188,0.6779958255409809
10,0.005,2,0,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,16.550388359600305,0.002631956649627388
10,0.005,2,1,aic,ude_sir_h2,tv_sir,0,1.8859130436977125,0.5932397576445252
10,0.005,2,1,aicc,ude_sir_h2,tv_sir,0,32.219246377031055,1.7255197962550906e-06
10,0.005,2,1,bic,ude_sir_h2,tv_sir,0,8.856038958575652,0.06410596661875385
10,0.005,2,1,gic_pred,ude_sir_h2,ude_sir_h2,1,6.875153882702051,0.1386880471258951
10,0.005,2,1,gic_evid,ude_sir_h2,tv_sir,0,11.526577149832079,0.021180311132291227
10,0.005,2,1,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,4.266866512515463,0.3378340952229305
10,0.005,2,2,aic,ude_sir_h2,ude_sir_h2,1,15.838708433513773,0.0032422950281653087
10,0.005,2,2,aicc,ude_sir_h2,tv_sir,0,14.494624899819556,0.005868866649273154
10,0.005,2,2,bic,ude_sir_h2,ude_sir_h2,1,8.868582518635833,0.0637829640339185
10,0.005,2,2,gic_pred,ude_sir_h2,ude_sir_h2,1,24.628796398360407,5.973717367845825e-05
10,0.005,2,2,gic_evid,ude_sir_h2,ude_sir_h2,1,4.782358018559194,0.2880679366412253
10,0.005,2,2,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,22.03495762047065,0.00019723151923164018
10,0.005,2,3,aic,ude_sir_h2,ude_sir_h2,1,5.820722814701071,0.20332696203770032
10,0.005,2,3,aicc,ude_sir_h2,tv_sir,0,24.512610518632272,6.303398534342952e-05
10,0.005,2,3,bic,ude_sir_h2,tv_sir,0,1.149403100176869,0.6535059885087473
10,0.005,2,3,gic_pred,ude_sir_h2,ude_sir_h2,1,14.899279635969492,0.004912054120324863
10,0.005,2,3,gic_evid,ude_sir_h2,tv_sir,0,2.91724388332851,0.48430063460624834
10,0.005,2,3,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,12.449059733206923,0.014280089568551957
10,0.005,2,4,aic,ude_sir_h2,tv_sir,0,0.43357961765337905,0.6873068228522283
10,0.005,2,4,aicc,ude_sir_h2,tv_sir,0,30.766912950986722,3.4155070338918767e-06
10,0.005,2,4,bic,ude_sir_h2,tv_sir,0,7.403705532531319,0.11353152171641395
10,0.005,2,4,gic_pred,ude_sir_h2,ude_sir_h2,1,8.569382670422414,0.0719159104248779
10,0.005,2,4,gic_evid,ude_sir_h2,tv_sir,0,8.709197959095448,0.06800221058044123
10,0.005,2,4,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,6.081526809457699,0.18540475521119576
10,0.005,2,5,aic,ude_sir_h2,ude_sir_h2,1,16.19241202894625,0.0028702312854128743
10,0.005,2,5,aicc,ude_sir_h2,tv_sir,0,14.140921304387078,0.0068531496117924095
10,0.005,2,5,bic,ude_sir_h2,ude_sir_h2,1,9.22228611406831,0.055301689907314995
10,0.005,2,5,gic_pred,ude_sir_h2,ude_sir_h2,1,20.21081218326391,0.000496591998648128
10,0.005,2,5,gic_evid,ude_sir_h2,ude_sir_h2,1,6.560593593929113,0.1558485570417432
10,0.005,2,5,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,21.548995043365437,0.00037700221456436625
10,0.005,2,6,aic,ude_sir_h2,ude_sir_h2,1,15.621214982314427,0.0035717427122260296
10,0.005,2,6,aicc,ude_sir_h2,tv_sir,0,14.712118351018901,0.005333900287458158
10,0.005,2,6,bic,ude_sir_h2,ude_sir_h2,1,8.651089067436487,0.06960425744755235
10,0.005,2,6,gic_pred,ude_sir_h2,ude_sir_h2,1,24.59930907176212,6.675402060010632e-05
10,0.005,2,6,gic_evid,ude_sir_h2,ude_sir_h2,1,7.955870980173174,0.09166597555326352
10,0.005,2,6,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,22.099072176817856,0.0001949916272926111
10,0.005,2,7,aic,ude_sir_h2,ude_sir_h2,1,15.709097585985432,0.0034341586329384405
10,0.005,2,7,aicc,ude_sir_h2,tv_sir,0,14.624235747347896,0.005544047320416371
10,0.005,2,7,bic,ude_sir_h2,ude_sir_h2,1,8.738971671107493,0.06719483188662777
10,0.005,2,7,gic_pred,ude_sir_h2,ude_sir_h2,1,24.68298724388272,5.8264409505879046e-05
10,0.005,2,7,gic_evid,ude_sir_h2,ude_sir_h2,1,6.515299460504963,0.15846249680985167
10,0.005,2,7,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,22.180657104845153,0.00018449045586064732
10,0.005,2,8,aic,ude_sir_h2,ude_sir_h2,1,10.391415463915735,0.0341545714140437
10,0.005,2,8,aicc,ude_sir_h2,tv_sir,0,19.941917869417594,0.0005127347738347105
