scenario,seed,criterion,candidate,weight
early_seir_infected_only,0,aic,neural_ode_h2,2.438868204120858e-06
early_seir_infected_only,0,aic,seir,0.341031240919856
early_seir_infected_only,0,aic,sir,0.4771089176176158
early_seir_infected_only,0,aic,tv_sir,0.18174798417804136
early_seir_infected_only,0,aic,ude_sir_h2,0.00010941841628268953
early_seir_infected_only,0,aicc,neural_ode_h2,3.3626345073051807e-97
early_seir_infected_only,0,aicc,seir,0.27531648530852165
early_seir_infected_only,0,aicc,sir,0.6599430510600303
early_seir_infected_only,0,aicc,tv_sir,0.06474046363144807
early_seir_infected_only,0,aicc,ude_sir_h2,1.1186778910840105e-18
early_seir_infected_only,0,bic,neural_ode_h2,2.9842686420368996e-08
early_seir_infected_only,0,bic,seir,0.29232391923284573
early_seir_infected_only,0,bic,sir,0.6018014513972728
early_seir_infected_only,0,bic,tv_sir,0.10587033337311734
early_seir_infected_only,0,bic,ude_sir_h2,4.2661540777583385e-06
early_seir_infected_only,0,blocked_validation,neural_ode_h2,0.0003202814212041273
early_seir_infected_only,0,blocked_validation,seir,0.9519457251752368
early_seir_infected_only,0,blocked_validation,sir,0.023887052234454472
early_seir_infected_only,0,blocked_validation,tv_sir,2.147973137843048e-05
early_seir_infected_only,0,blocked_validation,ude_sir_h2,0.023825461437725803
early_seir_infected_only,0,waic_laplace,neural_ode_h2,5.381157885415085e-82
early_seir_infected_only,0,waic_laplace,seir,0.04785737621752019
early_seir_infected_only,0,waic_laplace,sir,0.9521426237824799
early_seir_infected_only,0,waic_laplace,tv_sir,4.336131768789107e-20
early_seir_infected_only,0,waic_laplace,ude_sir_h2,9.387818294022e-305
early_seir_infected_only,0,ogic_p,neural_ode_h2,0.058569272843345
early_seir_infected_only,0,ogic_p,seir,0.3395284904320996
early_seir_infected_only,0,ogic_p,sir,0.220187323092303
early_seir_infected_only,0,ogic_p,tv_sir,0.13091317038679667
early_seir_infected_only,0,ogic_p,ude_sir_h2,0.25080174324545584
early_seir_infected_only,0,gic_eff,neural_ode_h2,0.04447012905063486
early_seir_infected_only,0,gic_eff,seir,0.3662681802856951
early_seir_infected_only,0,gic_eff,sir,0.2597133594491672
early_seir_infected_only,0,gic_eff,tv_sir,0.08469154393295462
early_seir_infected_only,0,gic_eff,ude_sir_h2,0.24485678728154836
early_seir_infected_only,0,gic_vol_025,neural_ode_h2,0.0410448343779673
