scenario,criterion,recovery_rate,n,modal_selection,modal_frequency,recovery_ci_low,recovery_ci_high
early_seir_infected_only,aic,0.2,20,sir,0.8,0.08065766257979806,0.41601743225189364
early_seir_infected_only,aicc,0.0,20,sir,1.0,0.0,0.16112515805281938
early_seir_infected_only,bic,0.05,20,sir,0.95,0.008881448800795402,0.23613119344674205
early_seir_infected_only,blocked_validation,0.55,20,seir,0.55,0.34208534245034233,0.7418021417443759
early_seir_infected_only,gic_eff,0.5,20,seir,0.5,0.2992980081982123,0.7007019918017877
early_seir_infected_only,gic_vol_025,0.55,20,seir,0.55,0.34208534245034233,0.7418021417443759
early_seir_infected_only,gic_vol_050,0.65,20,seir,0.65,0.43285427668523624,0.818808175898918
early_seir_infected_only,gic_vol_100,0.85,20,seir,0.85,0.6395811352592431,0.9476312541037835
early_seir_infected_only,ogic_e,0.85,20,seir,0.85,0.6395811352592431,0.9476312541037835
early_seir_infected_only,ogic_p,0.6,20,seir,0.6,0.3865815007622531,0.781193467627183
early_seir_infected_only,waic_laplace,0.25,20,sir,0.45,0.11186170140766569,0.468700877618744
missing_neural_feedback,aic,0.0,20,tv_sir,1.0,0.0,0.16112515805281938
missing_neural_feedback,aicc,0.0,20,tv_sir,1.0,0.0,0.16112515805281938
missing_neural_feedback,bic,0.0,20,tv_sir,1.0,0.0,0.16112515805281938
missing_neural_feedback,blocked_validation,0.45,20,ude_sir_h2,0.45,0.2581978582556243,0.6579146575496577
missing_neural_feedback,gic_eff,0.7,20,ude_sir_h2,0.7,0.4810271816464765,0.8545227551323956
missing_neural_feedback,gic_vol_025,0.7,20,ude_sir_h2,0.7,0.4810271816464765,0.8545227551323956
missing_neural_feedback,gic_vol_050,0.65,20,ude_sir_h2,0.65,0.43285427668523624,0.818808175898918
missing_neural_feedback,gic_vol_100,0.55,20,ude_sir_h2,0.55,0.34208534245034233,0.7418021417443759
missing_neural_feedback,ogic_e,0.2,20,tv_sir,0.8,0.08065766257979806,0.41601743225189364
missing_neural_feedback,ogic_p,0.6,20,ude_sir_h2,0.6,0.3865815007622531,0.781193467627183
missing_neural_feedback,waic_laplace,0.0,20,tv_sir,1.0,0.0,0.16112515805281938
missing_time_varying_transmission,aic,1.0,20,tv_sir,1.0,0.8388748419471806,1.0
missing_time_varying_transmission,aicc,1.0,20,tv_sir,1.0,0.8388748419471806,1.0
missing_time_varying_transmission,bic,1.0,20,tv_sir,1.0,0.8388748419471806,1.0
missing_time_varying_transmission,blocked_validation,0.7,20,tv_sir,0.7,0.4810271816464765,0.8545227551323956
missing_time_varying_transmission,gic_eff,0.7,20,tv_sir,0.7,0.4810271816464765,0.8545227551323956
missing_time_varying_transmission,gic_vol_025,0.8,20,tv_sir,0.8,0.5839825677481064,0.919342337420202
missing_time_varying_transmission,gic_vol_050,0.85,20,tv_sir,0.85,0.6395811352592431,0.9476312541037835
missing_time_varying_transmission,gic_vol_100,0.9,20,tv_sir,0.9,0.6989663547715128,0.9721335187862319
missing_time_varying_transmission,ogic_e,0.95,20,tv_sir,0.95,0.763868806553258,0.9911185511992047
missing_time_varying_transmission,ogic_p,0.7,20,tv_sir,0.7,0.4810271816464765,0.8545227551323956
missing_time_varying_transmission,waic_laplace,1.0,20,tv_sir,1.0,0.8388748419471806,1.0
noisy_sir_overfit_risk,aic,0.7,20,sir,0.7,0.4810271816464765,0.8545227551323956
noisy_sir_overfit_risk,aicc,0.8,20,sir,0.8,0.5839825677481064,0.919342337420202
noisy_sir_overfit_risk,bic,1.0,20,sir,1.0,0.8388748419471806,1.0
noisy_sir_overfit_risk,blocked_validation,0.2,20,tv_sir,0.35,0.08065766257979806,0.41601743225189364
noisy_sir_overfit_risk,gic_eff,0.6,20,sir,0.6,0.3865815007622531,0.781193467627183
noisy_sir_overfit_risk,gic_vol_025,0.6,20,sir,0.6,0.3865815007622531,0.781193467627183
noisy_sir_overfit_risk,gic_vol_050,0.6,20,sir,0.6,0.3865815007622531,0.781193467627183
noisy_sir_overfit_risk,gic_vol_100,0.65,20,sir,0.65,0.43285427668523624,0.818808175898918
noisy_sir_overfit_risk,ogic_e,0.55,20,sir,0.55,0.34208534245034233,0.7418021417443759
noisy_sir_overfit_risk,ogic_p,0.5,20,sir,0.5,0.2992980081982123,0.7007019918017877
noisy_sir_overfit_risk,waic_laplace,0.6,20,sir,0.6,0.3865815007622531,0.781193467627183
regular_sir_full,aic,0.8,20,sir,0.8,0.5839825677481064,0.919342337420202
regular_sir_full,aicc,0.85,20,sir,0.85,0.6395811352592431,0.9476312541037835
regular_sir_full,bic,0.95,20,sir,0.95,0.763868806553258,0.9911185511992047
regular_sir_full,blocked_validation,0.3,20,seir,0.4,0.1454772448676043,0.5189728183535235
regular_sir_full,gic_eff,0.95,20,sir,0.95,0.763868806553258,0.9911185511992047
regular_sir_full,gic_vol_025,1.0,20,sir,1.0,0.8388748419471806,1.0
regular_sir_full,gic_vol_050,1.0,20,sir,1.0,0.8388748419471806,1.0
regular_sir_full,gic_vol_100,1.0,20,sir,1.0,0.8388748419471806,1.0
regular_sir_full,ogic_e,1.0,20,sir,1.0,0.8388748419471806,1.0
regular_sir_full,ogic_p,0.75,20,sir,0.75,0.531299122381256,0.8881382985923343
regular_sir_full,waic_laplace,0.8,20,sir,0.8,0.5839825677481064,0.919342337420202
