scenario,seed,criterion,selected,truth,correct
early_seir_infected_only,0,aic,sir,seir,0
early_seir_infected_only,0,aicc,sir,seir,0
early_seir_infected_only,0,bic,sir,seir,0
early_seir_infected_only,0,blocked_validation,seir,seir,1
early_seir_infected_only,0,waic_laplace,sir,seir,0
early_seir_infected_only,0,ogic_p,seir,seir,1
early_seir_infected_only,0,gic_eff,seir,seir,1
early_seir_infected_only,0,gic_vol_025,seir,seir,1
early_seir_infected_only,0,gic_vol_050,seir,seir,1
early_seir_infected_only,0,gic_vol_100,seir,seir,1
early_seir_infected_only,0,ogic_e,seir,seir,1
early_seir_infected_only,1,aic,seir,seir,1
early_seir_infected_only,1,aicc,sir,seir,0
early_seir_infected_only,1,bic,sir,seir,0
early_seir_infected_only,1,blocked_validation,seir,seir,1
early_seir_infected_only,1,waic_laplace,sir,seir,0
early_seir_infected_only,1,ogic_p,seir,seir,1
early_seir_infected_only,1,gic_eff,seir,seir,1
early_seir_infected_only,1,gic_vol_025,seir,seir,1
early_seir_infected_only,1,gic_vol_050,seir,seir,1
early_seir_infected_only,1,gic_vol_100,seir,seir,1
early_seir_infected_only,1,ogic_e,seir,seir,1
early_seir_infected_only,2,aic,seir,seir,1
early_seir_infected_only,2,aicc,sir,seir,0
early_seir_infected_only,2,bic,sir,seir,0
early_seir_infected_only,2,blocked_validation,seir,seir,1
early_seir_infected_only,2,waic_laplace,sir,seir,0
early_seir_infected_only,2,ogic_p,seir,seir,1
early_seir_infected_only,2,gic_eff,seir,seir,1
early_seir_infected_only,2,gic_vol_025,seir,seir,1
early_seir_infected_only,2,gic_vol_050,seir,seir,1
early_seir_infected_only,2,gic_vol_100,seir,seir,1
early_seir_infected_only,2,ogic_e,seir,seir,1
early_seir_infected_only,3,aic,sir,seir,0
early_seir_infected_only,3,aicc,sir,seir,0
early_seir_infected_only,3,bic,sir,seir,0
early_seir_infected_only,3,blocked_validation,neural_ode_h2,seir,0
early_seir_infected_only,3,waic_laplace,sir,seir,0
early_seir_infected_only,3,ogic_p,sir,seir,0
early_seir_infected_only,3,gic_eff,sir,seir,0
early_seir_infected_only,3,gic_vol_025,sir,seir,0
early_seir_infected_only,3,gic_vol_050,sir,seir,0
early_seir_infected_only,3,gic_vol_100,seir,seir,1
early_seir_infected_only,3,ogic_e,sir,seir,0
early_seir_infected_only,4,aic,seir,seir,1
early_seir_infected_only,4,aicc,sir,seir,0
early_seir_infected_only,4,bic,sir,seir,0
early_seir_infected_only,4,blocked_validation,sir,seir,0
early_seir_infected_only,4,waic_laplace,tv_sir,seir,0
early_seir_infected_only,4,ogic_p,seir,seir,1
early_seir_infected_only,4,gic_eff,seir,seir,1
early_seir_infected_only,4,gic_vol_025,seir,seir,1
early_seir_infected_only,4,gic_vol_050,seir,seir,1
early_seir_infected_only,4,gic_vol_100,seir,seir,1
early_seir_infected_only,4,ogic_e,seir,seir,1
early_seir_infected_only,5,aic,sir,seir,0
early_seir_infected_only,5,aicc,sir,seir,0
early_seir_infected_only,5,bic,sir,seir,0
early_seir_infected_only,5,blocked_validation,seir,seir,1
early_seir_infected_only,5,waic_laplace,neural_ode_h2,seir,0
early_seir_infected_only,5,ogic_p,ude_sir_h2,seir,0
early_seir_infected_only,5,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,5,gic_vol_025,sir,seir,0
early_seir_infected_only,5,gic_vol_050,sir,seir,0
early_seir_infected_only,5,gic_vol_100,seir,seir,1
early_seir_infected_only,5,ogic_e,seir,seir,1
early_seir_infected_only,6,aic,seir,seir,1
early_seir_infected_only,6,aicc,sir,seir,0
early_seir_infected_only,6,bic,seir,seir,1
early_seir_infected_only,6,blocked_validation,tv_sir,seir,0
early_seir_infected_only,6,waic_laplace,neural_ode_h2,seir,0
early_seir_infected_only,6,ogic_p,seir,seir,1
early_seir_infected_only,6,gic_eff,seir,seir,1
early_seir_infected_only,6,gic_vol_025,seir,seir,1
early_seir_infected_only,6,gic_vol_050,seir,seir,1
early_seir_infected_only,6,gic_vol_100,seir,seir,1
early_seir_infected_only,6,ogic_e,seir,seir,1
early_seir_infected_only,7,aic,sir,seir,0
early_seir_infected_only,7,aicc,sir,seir,0
early_seir_infected_only,7,bic,sir,seir,0
early_seir_infected_only,7,blocked_validation,ude_sir_h2,seir,0
early_seir_infected_only,7,waic_laplace,sir,seir,0
early_seir_infected_only,7,ogic_p,ude_sir_h2,seir,0
early_seir_infected_only,7,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,7,gic_vol_025,sir,seir,0
early_seir_infected_only,7,gic_vol_050,sir,seir,0
early_seir_infected_only,7,gic_vol_100,seir,seir,1
early_seir_infected_only,7,ogic_e,seir,seir,1
early_seir_infected_only,8,aic,sir,seir,0
early_seir_infected_only,8,aicc,sir,seir,0
early_seir_infected_only,8,bic,sir,seir,0
early_seir_infected_only,8,blocked_validation,neural_ode_h2,seir,0
early_seir_infected_only,8,waic_laplace,seir,seir,1
early_seir_infected_only,8,ogic_p,seir,seir,1
early_seir_infected_only,8,gic_eff,seir,seir,1
early_seir_infected_only,8,gic_vol_025,seir,seir,1
early_seir_infected_only,8,gic_vol_050,seir,seir,1
early_seir_infected_only,8,gic_vol_100,seir,seir,1
early_seir_infected_only,8,ogic_e,seir,seir,1
early_seir_infected_only,9,aic,sir,seir,0
early_seir_infected_only,9,aicc,sir,seir,0
early_seir_infected_only,9,bic,sir,seir,0
early_seir_infected_only,9,blocked_validation,ude_sir_h2,seir,0
early_seir_infected_only,9,waic_laplace,seir,seir,1
early_seir_infected_only,9,ogic_p,seir,seir,1
early_seir_infected_only,9,gic_eff,seir,seir,1
early_seir_infected_only,9,gic_vol_025,seir,seir,1
early_seir_infected_only,9,gic_vol_050,seir,seir,1
early_seir_infected_only,9,gic_vol_100,seir,seir,1
early_seir_infected_only,9,ogic_e,sir,seir,0
early_seir_infected_only,10,aic,sir,seir,0
early_seir_infected_only,10,aicc,sir,seir,0
early_seir_infected_only,10,bic,sir,seir,0
early_seir_infected_only,10,blocked_validation,seir,seir,1
early_seir_infected_only,10,waic_laplace,seir,seir,1
early_seir_infected_only,10,ogic_p,seir,seir,1
early_seir_infected_only,10,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,10,gic_vol_025,sir,seir,0
early_seir_infected_only,10,gic_vol_050,seir,seir,1
early_seir_infected_only,10,gic_vol_100,seir,seir,1
early_seir_infected_only,10,ogic_e,seir,seir,1
early_seir_infected_only,11,aic,sir,seir,0
early_seir_infected_only,11,aicc,sir,seir,0
early_seir_infected_only,11,bic,sir,seir,0
early_seir_infected_only,11,blocked_validation,tv_sir,seir,0
early_seir_infected_only,11,waic_laplace,seir,seir,1
early_seir_infected_only,11,ogic_p,seir,seir,1
early_seir_infected_only,11,gic_eff,ude_sir_h2,seir,0
early_seir_infected_only,11,gic_vol_025,seir,seir,1
early_seir_infected_only,11,gic_vol_050,seir,seir,1
early_seir_infected_only,11,gic_vol_100,seir,seir,1
early_seir_infected_only,11,ogic_e,seir,seir,1
early_seir_infected_only,12,aic,sir,seir,0
early_seir_infected_only,12,aicc,sir,seir,0
early_seir_infected_only,12,bic,sir,seir,0
