criterion,recovery_rate,n,recovery_ci_low,recovery_ci_high,modal_selection,modal_frequency
aic,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
aicc,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
bic,0.6,10,0.31267376973365824,0.8318196702937638,ude_sir_h2,0.6
gic_eff,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
gic_vol_025,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
gic_vol_050,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
gic_vol_100,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
intervention_validation,0.7,10,0.39677814746114537,0.8922087325936989,ude_sir_h2,0.7
ogic_e,0.9,10,0.5958499732047615,0.9821237869049271,ude_sir_h2,0.9
ogic_p,1.0,10,0.7224672001371107,0.9999999999999999,ude_sir_h2,1.0
waic_laplace,0.0,10,0.0,0.2775327998628892,tv_sir,1.0
