seed,criterion,selected,correct
0,aic,ude_sir_h2,1
0,aicc,ude_sir_h2,1
0,bic,ude_sir_h2,1
0,intervention_validation,neural_ode_h2,0
0,waic_laplace,tv_sir,0
0,ogic_p,ude_sir_h2,1
0,gic_eff,ude_sir_h2,1
0,gic_vol_025,ude_sir_h2,1
0,gic_vol_050,ude_sir_h2,1
0,gic_vol_100,ude_sir_h2,1
0,ogic_e,ude_sir_h2,1
1,aic,ude_sir_h2,1
1,aicc,ude_sir_h2,1
1,bic,ude_sir_h2,1
1,intervention_validation,ude_sir_h2,1
1,waic_laplace,tv_sir,0
1,ogic_p,ude_sir_h2,1
1,gic_eff,ude_sir_h2,1
1,gic_vol_025,ude_sir_h2,1
1,gic_vol_050,ude_sir_h2,1
1,gic_vol_100,ude_sir_h2,1
1,ogic_e,ude_sir_h2,1
2,aic,ude_sir_h2,1
2,aicc,ude_sir_h2,1
2,bic,ude_sir_h2,1
2,intervention_validation,neural_ode_h2,0
2,waic_laplace,tv_sir,0
2,ogic_p,ude_sir_h2,1
2,gic_eff,ude_sir_h2,1
2,gic_vol_025,ude_sir_h2,1
2,gic_vol_050,ude_sir_h2,1
2,gic_vol_100,ude_sir_h2,1
2,ogic_e,ude_sir_h2,1
3,aic,ude_sir_h2,1
3,aicc,ude_sir_h2,1
3,bic,ude_sir_h2,1
3,intervention_validation,ude_sir_h2,1
3,waic_laplace,tv_sir,0
3,ogic_p,ude_sir_h2,1
3,gic_eff,ude_sir_h2,1
3,gic_vol_025,ude_sir_h2,1
3,gic_vol_050,ude_sir_h2,1
3,gic_vol_100,ude_sir_h2,1
3,ogic_e,ude_sir_h2,1
4,aic,ude_sir_h2,1
4,aicc,ude_sir_h2,1
4,bic,tv_sir,0
4,intervention_validation,ude_sir_h2,1
4,waic_laplace,tv_sir,0
4,ogic_p,ude_sir_h2,1
4,gic_eff,ude_sir_h2,1
4,gic_vol_025,ude_sir_h2,1
4,gic_vol_050,ude_sir_h2,1
4,gic_vol_100,ude_sir_h2,1
4,ogic_e,ude_sir_h2,1
5,aic,ude_sir_h2,1
5,aicc,ude_sir_h2,1
5,bic,tv_sir,0
5,intervention_validation,ude_sir_h2,1
5,waic_laplace,tv_sir,0
5,ogic_p,ude_sir_h2,1
5,gic_eff,ude_sir_h2,1
5,gic_vol_025,ude_sir_h2,1
5,gic_vol_050,ude_sir_h2,1
5,gic_vol_100,ude_sir_h2,1
5,ogic_e,ude_sir_h2,1
6,aic,ude_sir_h2,1
6,aicc,ude_sir_h2,1
6,bic,tv_sir,0
6,intervention_validation,ude_sir_h2,1
6,waic_laplace,tv_sir,0
6,ogic_p,ude_sir_h2,1
6,gic_eff,ude_sir_h2,1
6,gic_vol_025,ude_sir_h2,1
6,gic_vol_050,ude_sir_h2,1
6,gic_vol_100,ude_sir_h2,1
6,ogic_e,ude_sir_h2,1
7,aic,ude_sir_h2,1
7,aicc,ude_sir_h2,1
7,bic,ude_sir_h2,1
7,intervention_validation,tv_sir,0
7,waic_laplace,tv_sir,0
7,ogic_p,ude_sir_h2,1
7,gic_eff,ude_sir_h2,1
7,gic_vol_025,ude_sir_h2,1
7,gic_vol_050,ude_sir_h2,1
7,gic_vol_100,ude_sir_h2,1
7,ogic_e,ude_sir_h2,1
8,aic,ude_sir_h2,1
8,aicc,ude_sir_h2,1
8,bic,ude_sir_h2,1
8,intervention_validation,ude_sir_h2,1
8,waic_laplace,tv_sir,0
8,ogic_p,ude_sir_h2,1
8,gic_eff,ude_sir_h2,1
8,gic_vol_025,ude_sir_h2,1
8,gic_vol_050,ude_sir_h2,1
8,gic_vol_100,ude_sir_h2,1
8,ogic_e,ude_sir_h2,1
9,aic,tv_sir,0
9,aicc,tv_sir,0
9,bic,tv_sir,0
9,intervention_validation,ude_sir_h2,1
9,waic_laplace,tv_sir,0
9,ogic_p,ude_sir_h2,1
9,gic_eff,tv_sir,0
9,gic_vol_025,tv_sir,0
9,gic_vol_050,tv_sir,0
9,gic_vol_100,tv_sir,0
9,ogic_e,tv_sir,0
