experiment,dimension,trial,relative_spectrum_error,raw_dimension_original,raw_dimension_duplicate,d_obs_original,d_obs_duplicate,c_obs_original,c_obs_duplicate
coordinate_change,2,0.0,3.983830745160085e-09,,,,,,
coordinate_change,2,1.0,1.386389796629357e-09,,,,,,
coordinate_change,2,2.0,1.3608468084996166e-09,,,,,,
coordinate_change,2,3.0,2.0603270583479906e-10,,,,,,
coordinate_change,2,4.0,1.5218240534847137e-09,,,,,,
coordinate_change,2,5.0,2.529302961708681e-09,,,,,,
coordinate_change,2,6.0,4.699807804848022e-09,,,,,,
coordinate_change,2,7.0,4.082677009752652e-09,,,,,,
coordinate_change,2,8.0,9.094727103587185e-10,,,,,,
coordinate_change,2,9.0,2.154743944096938e-10,,,,,,
coordinate_change,2,10.0,5.495587089296837e-10,,,,,,
coordinate_change,2,11.0,4.406553563729904e-10,,,,,,
coordinate_change,2,12.0,3.09422684874043e-09,,,,,,
coordinate_change,2,13.0,2.1948228393497507e-09,,,,,,
coordinate_change,2,14.0,4.667106975661237e-09,,,,,,
coordinate_change,2,15.0,3.748450309876175e-09,,,,,,
coordinate_change,2,16.0,1.1074434488462366e-09,,,,,,
coordinate_change,2,17.0,4.433941927350183e-09,,,,,,
coordinate_change,2,18.0,3.399156774151259e-10,,,,,,
coordinate_change,2,19.0,4.083125452383728e-09,,,,,,
coordinate_change,2,20.0,2.648632168316971e-10,,,,,,
coordinate_change,2,21.0,2.4938786737584103e-10,,,,,,
coordinate_change,2,22.0,2.66974091327645e-10,,,,,,
coordinate_change,2,23.0,4.142671266536079e-09,,,,,,
coordinate_change,2,24.0,3.6886938818746613e-09,,,,,,
coordinate_change,2,25.0,4.335412354983486e-09,,,,,,
coordinate_change,2,26.0,1.0944038807789218e-09,,,,,,
coordinate_change,2,27.0,6.45565095038917e-10,,,,,,
coordinate_change,2,28.0,2.025434013154053e-10,,,,,,
coordinate_change,2,29.0,3.4383258272307595e-10,,,,,,
coordinate_change,2,30.0,1.8612308199437111e-09,,,,,,
coordinate_change,2,31.0,8.527886171611565e-10,,,,,,
coordinate_change,2,32.0,2.9093910979067425e-09,,,,,,
coordinate_change,2,33.0,2.502706150248449e-10,,,,,,
coordinate_change,2,34.0,6.417472295875528e-09,,,,,,
coordinate_change,2,35.0,3.507585744942475e-09,,,,,,
coordinate_change,2,36.0,3.148136532371725e-10,,,,,,
coordinate_change,2,37.0,3.0630551773549266e-09,,,,,,
coordinate_change,2,38.0,2.2409468724795948e-10,,,,,,
coordinate_change,2,39.0,2.58631165568275e-09,,,,,,
coordinate_change,2,40.0,1.5659265247879617e-09,,,,,,
coordinate_change,2,41.0,1.7043293994741779e-09,,,,,,
coordinate_change,2,42.0,2.729297554361374e-09,,,,,,
coordinate_change,2,43.0,3.500495981583715e-09,,,,,,
coordinate_change,2,44.0,1.410211105849073e-09,,,,,,
coordinate_change,2,45.0,4.01498704205402e-09,,,,,,
coordinate_change,2,46.0,2.4691504704953386e-09,,,,,,
coordinate_change,2,47.0,6.55689868759809e-09,,,,,,
coordinate_change,2,48.0,4.352678187586714e-09,,,,,,
coordinate_change,2,49.0,1.3660236278411792e-09,,,,,,
coordinate_change,2,50.0,3.865424769435528e-09,,,,,,
coordinate_change,2,51.0,2.904867105080625e-10,,,,,,
coordinate_change,2,52.0,4.570981753665671e-09,,,,,,
coordinate_change,2,53.0,2.520911137173276e-09,,,,,,
coordinate_change,2,54.0,2.8455851355112657e-10,,,,,,
coordinate_change,2,55.0,3.6222630924019395e-09,,,,,,
coordinate_change,2,56.0,4.025851499622051e-09,,,,,,
coordinate_change,2,57.0,5.3193762756777355e-09,,,,,,
coordinate_change,2,58.0,4.495126981603132e-09,,,,,,
coordinate_change,2,59.0,6.021726637740486e-09,,,,,,
coordinate_change,2,60.0,2.475188847286139e-09,,,,,,
coordinate_change,2,61.0,2.9852738192623125e-09,,,,,,
coordinate_change,2,62.0,5.086746658973132e-09,,,,,,
coordinate_change,2,63.0,2.085526943898156e-10,,,,,,
coordinate_change,2,64.0,3.099267096429807e-10,,,,,,
coordinate_change,2,65.0,2.571604811136031e-10,,,,,,
coordinate_change,2,66.0,2.3936826311715337e-09,,,,,,
coordinate_change,2,67.0,3.0124111246041352e-09,,,,,,
coordinate_change,2,68.0,1.380097252186727e-09,,,,,,
coordinate_change,2,69.0,5.971453182276713e-10,,,,,,
coordinate_change,2,70.0,1.3910887232288851e-09,,,,,,
coordinate_change,2,71.0,9.184567466024632e-10,,,,,,
coordinate_change,2,72.0,1.516176488092582e-09,,,,,,
coordinate_change,2,73.0,4.276017438367138e-09,,,,,,
coordinate_change,2,74.0,4.131054360281844e-09,,,,,,
coordinate_change,2,75.0,4.012269514511153e-09,,,,,,
coordinate_change,2,76.0,4.4362590059470195e-10,,,,,,
coordinate_change,2,77.0,1.2105309965776395e-09,,,,,,
coordinate_change,2,78.0,2.97157431470601e-09,,,,,,
coordinate_change,2,79.0,2.6769273496393114e-09,,,,,,
coordinate_change,2,80.0,1.978788920621474e-09,,,,,,
coordinate_change,2,81.0,3.2751427995006087e-09,,,,,,
coordinate_change,2,82.0,4.6299236425666253e-10,,,,,,
coordinate_change,2,83.0,3.612166128627812e-09,,,,,,
coordinate_change,2,84.0,3.529054016014527e-10,,,,,,
coordinate_change,2,85.0,2.0605026405277467e-10,,,,,,
coordinate_change,2,86.0,3.891758157658954e-09,,,,,,
coordinate_change,2,87.0,3.9675508739353796e-09,,,,,,
coordinate_change,2,88.0,2.8830613053474e-10,,,,,,
coordinate_change,2,89.0,2.2170961880671555e-10,,,,,,
coordinate_change,2,90.0,3.923244486405149e-09,,,,,,
coordinate_change,2,91.0,1.485463045786087e-09,,,,,,
coordinate_change,2,92.0,4.069954158360217e-09,,,,,,
coordinate_change,2,93.0,4.40921203565531e-09,,,,,,
coordinate_change,2,94.0,7.404683717871787e-10,,,,,,
coordinate_change,2,95.0,2.555783780585996e-10,,,,,,
coordinate_change,2,96.0,2.368708036856673e-09,,,,,,
coordinate_change,2,97.0,2.4396679964701e-09,,,,,,
coordinate_change,2,98.0,2.5670206981864205e-09,,,,,,
coordinate_change,2,99.0,8.68938448144428e-10,,,,,,
exact_duplication,2,,6.78308211328722e-17,2.0,4.0,1.8018291612823973,1.8018291612824,5.111668496996211,5.111668496996214
coordinate_change,5,0.0,6.45995180570249e-09,,,,,,
coordinate_change,5,1.0,5.952151495501066e-10,,,,,,
coordinate_change,5,2.0,9.203404504438614e-09,,,,,,
coordinate_change,5,3.0,2.244896547704175e-09,,,,,,
coordinate_change,5,4.0,2.484441487483542e-09,,,,,,
coordinate_change,5,5.0,1.042192682316013e-09,,,,,,
coordinate_change,5,6.0,5.51101451945367e-10,,,,,,
coordinate_change,5,7.0,1.2068393597455715e-10,,,,,,
coordinate_change,5,8.0,1.3473230275765437e-09,,,,,,
coordinate_change,5,9.0,1.7599155740950333e-09,,,,,,
coordinate_change,5,10.0,1.6888617778761844e-09,,,,,,
coordinate_change,5,11.0,1.7978949688353031e-09,,,,,,
