scenario,model,train_fit_mean,train_fit_std,test_fit_mean,test_fit_std,full_fit_mean,full_fit_std,d_mean,d_std,d_eff_mean,d_eff_std,cond_mean,cond_std,aic_mean,aic_std,aicc_mean,aicc_std,bic_mean,bic_std,gic_eff_mean,gic_eff_std,gic_aic_mean,gic_aic_std,gic_vol_mean,gic_vol_std,cv_mean,cv_std,waic_like_mean,waic_like_std,wall_mean,wall_std,nfev_mean,nfev_std
early_partial_seir_medium_noise,SEIR,6.436106584541881,5.939292381899862,2.992465583689486,3.049064211024279,9.428572168231367,6.007101333034868,3.0,0.0,1.6755302313632878,0.22202091755088862,699.9140215041257,339.5015654679555,12.43610658454188,5.939292381899862,18.43610658454188,5.939292381899862,12.674431209581387,5.939292381899862,9.920273751979128,5.687439975847952,9.787167047268456,5.6965787376325006,10.311270957878039,5.665463654253508,0.9974885278964952,1.016354737008093,9.787167047268456,5.6965787376325006,0.10518413782119751,0.01611189335703528,19.083333333333332,2.6097137890209456
early_partial_seir_medium_noise,SIR,7.21167195443608,6.63119952428909,2.622693038987481,2.4302820076904936,9.834364993423561,6.561591387305403,2.0,0.0,1.4431560306527762,0.39968917635372825,733.6888117469085,452.743362964955,11.21167195443608,6.63119952428909,13.611671954436082,6.631199524289089,11.370555037795752,6.63119952428909,10.21263055570124,6.127404296383556,10.097984015741632,6.145344734591095,10.629028003385006,6.094664366807066,0.8742310129958271,0.8100940025634977,10.097984015741632,6.145344734591095,0.056844095389048256,0.02142213970570757,13.0,5.688904671695278
early_partial_seir_medium_noise,TV-SIR,4.831129433947701,3.2092720534955665,4.32586874443335,4.453100132048556,9.156998178381052,6.248354129566022,4.0,0.0,2.44537514904887,0.3846872085431603,2560.204469920713,653.071673266745,12.8311294339477,3.2092720534955657,26.164462767281034,3.2092720534955665,13.148895600667045,3.209272053495567,9.91614410387144,3.407833285631337,9.721879732045439,3.3970016430104275,10.546960789976364,3.449085289710326,1.4419562481444501,1.4843667106828524,9.721879732045439,3.3970016430104275,0.23410379886627197,0.012502429865700921,19.5,1.2431631210161223
early_partial_seir_medium_noise,UDE-SIR,5.9658265895664515,4.039469251315731,3.1106287411997933,2.7400653485046265,9.076455330766246,4.86563359658571,5.0,0.0,2.2932218460002787,0.3100549899471618,6835.22905040925,5670.714561127416,15.965826589566452,4.039469251315731,45.965826589566454,4.03946925131573,16.36303429796563,4.03946925131573,10.734447360427149,4.347910649415105,10.55227028156701,4.334768782845272,11.369598711181718,4.428111706073686,1.0368762470665978,0.913355116168209,10.55227028156701,4.334768782845272,0.11506730318069458,0.015603899454271451,8.0,0.0
regular_full_long_low_noise,SEIR,68.14080343898938,19.218447805581857,28.661584663175603,4.9994585199983534,96.80238810216498,21.15485167624677,3.0,0.0,2.9804423544470353,0.0034744997916888276,1464.0990423215583,294.5372600464344,74.1408034389894,19.218447805581857,74.72616929264792,19.21844780558185,79.56079090830035,19.218447805581853,79.48634155258566,19.218983456614346,74.10168814788345,19.2187281007689,80.69485928050821,19.219523748570754,1.592310259065311,0.2777476955554641,74.10168814788345,19.2187281007689,0.163585364818573,0.017291563739793212,14.416666666666666,1.4433756729740645
regular_full_long_low_noise,SIR,40.39513078925121,11.288202554454259,15.597913987539842,4.027359248584581,55.993044776791045,10.34675996348328,2.0,0.0,1.9998688749655937,1.1619538508625874e-06,11.607730125802178,0.20159275999705115,44.395130789251205,11.28820255445426,44.6808450749655,11.28820255445426,48.008455768791855,11.28820255445426,48.00795662004191,11.28820245664402,44.3948685391824,11.288202503065069,49.03273880956035,11.288245301783522,0.8665507770855468,0.22374218047692118,44.3948685391824,11.288202503065069,0.04532519976298014,0.007084937556359125,5.0,0.0
regular_full_long_low_noise,TV-SIR,37.99713770379426,10.488178622862797,16.184997944481196,4.748276584664483,54.18213564827545,10.272595923151266,4.0,0.0,3.98074482849688,0.0009036097527914675,3290.5327102362567,145.00225069992746,45.99713770379426,10.488178622862797,46.99713770379426,10.488178622862797,53.22378766287554,10.488178622862796,53.15048972378051,10.489518810551791,45.95862736078802,10.48888263097648,54.795039090865025,10.49014577875691,0.8991665524711775,0.26379314359247125,45.95862736078802,10.48888263097648,0.15077084302902222,0.006344517405419544,6.0,0.0
regular_full_long_low_noise,UDE-SIR,37.890697250382765,10.490675495282142,16.177659054072397,4.564750504124212,54.06835630445516,10.225082851663522,5.0,0.0,4.026154627936286,0.037039045933741924,159207.04638007682,29708.091986561987,47.890697250382765,10.490675495282142,49.4291587888443,10.490675495282142,56.924009699234354,10.490675495282144,53.216909050563004,10.48951644729321,45.94300650625534,10.48983027568392,54.88400290429951,10.49121503440039,0.8987588363373553,0.25359725022912283,45.94300650625534,10.48983027568392,0.2143909732500712,0.013977197551023226,8.0,0.0
ude_overfit_noisy_sir,SEIR,11.759705309020527,5.027792732238783,5.127212373602698,4.261527321745884,16.886917682623224,7.161723925325593,3.0,0.0,2.258401934765398,0.18467721941206786,307.19854541233894,96.70525779416063,17.75970530902053,5.027792732238784,19.94152349083871,5.027792732238785,19.883855912327153,5.027792732238783,17.875571122631584,4.938366572838314,16.276509178551322,4.957034482367396,18.46335130031919,4.9341462094402555,0.8545353956004497,0.710254553624314,16.276509178551322,4.957034482367396,0.14981011549631754,0.02563838253959881,14.416666666666666,1.378954368902449
ude_overfit_noisy_sir,SIR,13.065162683066498,5.967149132005046,4.897038713707815,3.8636705193265635,17.962201396774315,7.627678256173932,2.0,0.0,1.9943534412599313,0.00026608236755428963,2.6648783249246013,0.06393921034230442,17.0651626830665,5.967149132005046,18.0651626830665,5.967149132005047,18.48126308527092,5.967149132005046,18.465971920739342,5.967403742745737,17.053869565586364,5.967337164550399,19.064616555968204,5.969175072251343,0.8161731189513025,0.6439450865544273,17.053869565586364,5.967337164550399,0.05748802423477173,0.01254428960998674,6.583333333333333,1.5050420310248867
