scenario,criterion,mode,n,forecast_mse,forecast_mse_sd,log_score,coverage_90,mean_width_90,between_fraction
early_seir_infected_only,aic,average,20,0.0010140942079446245,0.001355626290011806,-2.0322988652515965,0.9666666666666666,0.14067391804128895,0.04726424080160868
early_seir_infected_only,aic,hard,20,0.0011405886318256397,0.001324421503839292,-2.029465273003212,0.9583333333333334,0.13111371721865434,0.0
early_seir_infected_only,bic,average,20,0.0010197753175298827,0.001338309520046005,-2.046487637590613,0.9666666666666666,0.13686787994290683,0.03711977551646371
early_seir_infected_only,bic,hard,20,0.0011013381025967422,0.0013444228933407127,-2.052499813148211,0.9583333333333334,0.1292864193102805,0.0
early_seir_infected_only,gic_eff,average,20,0.0011493214395217391,0.0014249824109085582,-1.954006866205947,0.9666666666666666,0.14781336432174946,0.17273757788368158
early_seir_infected_only,gic_eff,hard,20,0.0010108582060947397,0.0013849894902978447,-2.0770103300448706,0.975,0.1320567581834921,0.0
early_seir_infected_only,gic_vol_050,average,20,0.0011118664643816301,0.0014016951520635233,-1.9796018184827708,0.9583333333333334,0.14374052299218237,0.17105965450481642
early_seir_infected_only,gic_vol_050,hard,20,0.0009232174386609802,0.0013862389362376177,-2.104143393673671,0.975,0.13112981876466895,0.0
early_seir_infected_only,ogic_p,average,20,0.001213179592857882,0.0014655642455573192,-1.9219987303911985,0.9666666666666666,0.15154430329115454,0.1972230424320997
early_seir_infected_only,ogic_p,hard,20,0.0013920076900429239,0.0022097596234641726,-1.7604468971650005,0.925,0.13050874088474457,0.0
missing_neural_feedback,aic,average,20,4.2907668405112265e-05,2.4718134832461276e-05,-3.1772703081805673,1.0,0.049943807585554875,0.0034189458498381812
missing_neural_feedback,aic,hard,20,4.3515502133879696e-05,2.484483628502583e-05,-3.1771753833370617,1.0,0.04985293514898582,0.0
missing_neural_feedback,bic,average,20,4.3513372044977455e-05,2.484432815823583e-05,-3.1771757334861115,1.0,0.04985325832146717,1.240808534759835e-05
missing_neural_feedback,bic,hard,20,4.3515502133879696e-05,2.484483628502583e-05,-3.1771753833370617,1.0,0.04985293514898582,0.0
missing_neural_feedback,gic_eff,average,20,1.2703235009483357e-05,1.4674430898205564e-05,-3.1213017015204745,1.0,0.056915483663929754,0.19188409388142041
missing_neural_feedback,gic_eff,hard,20,8.256347143371813e-05,5.097578455350175e-05,-3.0834321563157916,1.0,0.05086251199332235,0.0
missing_neural_feedback,gic_vol_050,average,20,1.043665471236634e-05,1.416441019155451e-05,-3.1235800489994365,1.0,0.056988331757274045,0.19225831025707615
missing_neural_feedback,gic_vol_050,hard,20,8.106492643589661e-05,5.065071126591025e-05,-3.0846950077783015,1.0,0.05098777793686364,0.0
missing_neural_feedback,ogic_p,average,20,9.399218984311274e-06,1.2842111325178907e-05,-3.126073809552222,1.0,0.05694578096747309,0.1916692975101273
missing_neural_feedback,ogic_p,hard,20,7.73986014709458e-05,5.1277939800387025e-05,-3.0933326592943406,1.0,0.050894013293829254,0.0
