schema_version,protocol_hash,status,scenario,truth,candidate,seed,observation,noise,n_observations,dimension,objective,deviance,forecast_mse,gradient_norm,best_start,wall_seconds,second_best_objective_gap,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,0,infected,0.02,16,14,-27.637761925818673,-78.04246652716633,0.005078080422221924,5.1904559226485855e-05,0,54.215093499999966,2.3000268356554443e-11,8,-50.042466527166326,369.9575334728337,-39.22622441580939,-71.57618613062104,-69.32400506117607,-67.07182399173111,-62.56746185284116,-73.37803119661963,-46.26679957385747,2.3322176652733497,9.008724277779873,22.766942675528984
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,1,infected,0.02,16,14,-29.536621057398243,-82.63954696975829,0.005877829394808183,1.699412345908453e-05,1,82.25601090001874,4.3729642129619606e-10,8,-54.639546969758285,365.36045303024173,-43.82330485840135,-76.21678783961346,-74.01260895584225,-71.80843007207103,-67.40007230452862,-78.00650559681615,-50.25652657971165,2.316520686471064,8.81671553508484,23.5663048549618
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,2,infected,0.02,16,14,-29.443508904921813,-82.33883190055619,0.004996289337708679,2.8491223888731646e-05,0,70.08247750002192,1.3108802932038088e-10,8,-54.33883190055619,365.6611680994438,-43.52258978919925,-75.68617775369982,-73.42271341349577,-71.15924907329172,-66.63232039288361,-77.53995632734664,-49.83316044902742,2.3994377866047696,9.05385736081621,23.451814090712563
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,3,infected,0.02,16,14,-28.907020197658728,-77.42602468708758,0.009319791800470087,2.2501220268128634e-05,4,71.47323259999393,5.70128833032868e-10,8,-49.426024687087576,370.5739753129124,-38.60978257573064,-71.12549464708438,-69.03251331408205,-66.93953198107971,-62.753569315075055,-72.88115296524529,-49.44211506330813,2.2724358609211395,8.371925332009326,19.61198429177012
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,4,infected,0.02,16,14,-20.33360331613149,-64.36086581057512,0.005415516420388628,1.77958571832019e-05,3,86.2081747999764,7.718199412920512e-10,8,-36.36086581057512,383.6391341894249,-25.544623699218185,-57.86854575553896,-55.619735716134436,-53.37092567672991,-48.87330559792086,-59.677646836942806,-31.67196647464488,2.341609486816157,8.995240157618102,23.69365917831214
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,5,infected,0.02,16,14,-28.675515121073605,-78.35042606658622,0.008860588154914618,1.0594203882842508e-05,1,83.12820979999378,8.104805715447583e-11,8,-50.35042606658622,369.64957393341376,-39.53418395522929,-72.03724056668366,-69.94862030846676,-67.86000005024984,-63.68275953381602,-73.79642536012545,-48.996549209279564,2.2770003532303824,8.354481032867646,20.999395824439013
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,6,infected,0.02,16,14,-25.1301699514986,-74.19270491993832,0.0070768344428465335,1.2186187868582958e-05,3,82.21389770001406,7.957012826409482e-11,8,-46.19270491993832,373.8072950800617,-35.37646280858139,-67.83010839120064,-65.68757907253345,-63.545049753866266,-59.2599911165319,-69.60306169034473,-41.69022262832846,2.294821614796799,8.570117274668739,23.932365016941123
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,7,infected,0.02,16,14,-33.782739484062255,-88.80338332015937,0.010236926584238176,2.5846583149366096e-05,2,81.82755290000932,2.0976642645109678e-10,8,-60.80338332015937,359.19661667984064,-49.987141208802434,-82.78559024386142,-80.77693483369363,-78.76827942352585,-74.75096860319027,-84.46246320602387,-59.53085732745336,2.17046005706775,8.034621640671144,21.23790435203486
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,8,infected,0.02,16,14,-32.98179338496446,-87.77641734789813,0.0068351319549981625,1.901253226921304e-05,3,90.94909639999969,5.10453901370056e-11,8,-59.77641734789813,360.22358265210187,-48.9601752365412,-81.37852299321372,-79.19836627192177,-77.01820955062983,-72.65789610804593,-83.16131211908078,-57.242959884761135,2.3075526144086753,8.720626885167786,21.812830577969212
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,9,infected,0.02,16,14,-27.682065088751713,-76.89028239985532,0.011554500138122132,2.7621699526835358e-05,0,78.47340309998253,1.5915411211153696e-09,8,-48.89028239985532,371.1097176001447,-38.07404028849839,-70.97891346503567,-69.02383207351087,-67.06875068198607,-63.15858789893647,-72.62613107629063,-47.54380461140422,2.132075661782344,7.82032556609921,21.526152222351893
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,10,infected,0.02,16,14,-30.365211922458208,-82.2245317895329,0.008548255954098001,2.529966681947567e-05,4,73.87807749997592,4.9467985263618175e-11,8,-54.224531789532904,365.7754682104671,-43.40828967817597,-76.05023228009875,-73.96169908728304,-71.87316589446732,-67.69609950883589,-77.770716147921,-52.37629107365355,2.2269078208059545,8.35413277126287,21.494107944616484
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,11,infected,0.02,16,14,-30.472916596943577,-82.38179022338822,0.007114047157295924,3.056160762478804e-05,3,79.62417890000506,2.7041124894822133e-10,8,-54.38179022338822,365.61820977661176,-43.56554811203129,-75.8227920145267,-73.639698543307,-71.45660507208731,-67.09041812964792,-77.65047312882616,-52.21345930900838,2.3656585472810296,8.732373884878777,21.43595702950107
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,12,infected,0.02,16,14,-28.476779910201515,-76.53051485213618,0.0076053431098665365,1.9445982325180638e-05,0,76.83298229999491,3.800693093580776e-10,10,-48.53051485213618,371.4694851478638,-37.71427274077924,-69.68725054239223,-67.44861984720943,-65.20998915202664,-60.73272776166104,-71.59414311055616,-47.99903703967183,2.468185870790007,8.954522780731198,19.57695503173315
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,13,infected,0.02,16,14,-34.29489257182994,-86.44605250708466,0.008690344627998082,2.99130528967579e-05,3,74.72718729998451,1.8805224044626812e-10,8,-58.44605250708466,361.5539474929153,-47.62981039572772,-80.04072843061002,-77.90489289747794,-75.76905736434587,-71.49738629808172,-81.82558786687633,-60.04644301113158,2.3102323201041637,8.5433421325283,17.856267363424777
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,14,infected,0.02,16,14,-27.163790666612304,-75.96893436995813,0.005931948055197392,1.779638117677238e-05,4,69.94554790001712,1.3216805427873624e-10,8,-47.968934369958134,372.0310656300419,-37.1526922586012,-69.23055667418987,-66.96377241646567,-64.69698815874149,-60.163419643293096,-71.1082223272973,-45.26044430232784,2.4303560213304163,9.06713703089677,21.641353036733527
