scenario,seed,criterion,truth,selected,correct
early_seir_infected_only,0,aic,seir,sir,0
early_seir_infected_only,0,aicc,seir,sir,0
early_seir_infected_only,0,bic,seir,sir,0
early_seir_infected_only,0,gic_eff,seir,seir,1
early_seir_infected_only,0,gic_vol_025,seir,seir,1
early_seir_infected_only,0,gic_vol_050,seir,seir,1
early_seir_infected_only,0,gic_vol_100,seir,seir,1
early_seir_infected_only,0,ogic_e,seir,seir,1
early_seir_infected_only,1,aic,seir,seir,1
early_seir_infected_only,1,aicc,seir,sir,0
early_seir_infected_only,1,bic,seir,sir,0
early_seir_infected_only,1,gic_eff,seir,seir,1
early_seir_infected_only,1,gic_vol_025,seir,seir,1
early_seir_infected_only,1,gic_vol_050,seir,seir,1
early_seir_infected_only,1,gic_vol_100,seir,seir,1
early_seir_infected_only,1,ogic_e,seir,seir,1
early_seir_infected_only,2,aic,seir,seir,1
early_seir_infected_only,2,aicc,seir,sir,0
early_seir_infected_only,2,bic,seir,sir,0
early_seir_infected_only,2,gic_eff,seir,seir,1
early_seir_infected_only,2,gic_vol_025,seir,seir,1
early_seir_infected_only,2,gic_vol_050,seir,seir,1
early_seir_infected_only,2,gic_vol_100,seir,seir,1
early_seir_infected_only,2,ogic_e,seir,seir,1
early_seir_infected_only,3,aic,seir,sir,0
early_seir_infected_only,3,aicc,seir,sir,0
early_seir_infected_only,3,bic,seir,sir,0
early_seir_infected_only,3,gic_eff,seir,sir,0
early_seir_infected_only,3,gic_vol_025,seir,sir,0
early_seir_infected_only,3,gic_vol_050,seir,sir,0
early_seir_infected_only,3,gic_vol_100,seir,seir,1
early_seir_infected_only,3,ogic_e,seir,sir,0
early_seir_infected_only,4,aic,seir,seir,1
early_seir_infected_only,4,aicc,seir,sir,0
early_seir_infected_only,4,bic,seir,sir,0
early_seir_infected_only,4,gic_eff,seir,seir,1
early_seir_infected_only,4,gic_vol_025,seir,seir,1
early_seir_infected_only,4,gic_vol_050,seir,seir,1
early_seir_infected_only,4,gic_vol_100,seir,seir,1
early_seir_infected_only,4,ogic_e,seir,seir,1
early_seir_infected_only,5,aic,seir,sir,0
early_seir_infected_only,5,aicc,seir,sir,0
early_seir_infected_only,5,bic,seir,sir,0
early_seir_infected_only,5,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,5,gic_vol_025,seir,sir,0
early_seir_infected_only,5,gic_vol_050,seir,sir,0
early_seir_infected_only,5,gic_vol_100,seir,seir,1
early_seir_infected_only,5,ogic_e,seir,seir,1
early_seir_infected_only,6,aic,seir,seir,1
early_seir_infected_only,6,aicc,seir,sir,0
early_seir_infected_only,6,bic,seir,seir,1
early_seir_infected_only,6,gic_eff,seir,seir,1
early_seir_infected_only,6,gic_vol_025,seir,seir,1
early_seir_infected_only,6,gic_vol_050,seir,seir,1
early_seir_infected_only,6,gic_vol_100,seir,seir,1
early_seir_infected_only,6,ogic_e,seir,seir,1
early_seir_infected_only,7,aic,seir,sir,0
early_seir_infected_only,7,aicc,seir,sir,0
early_seir_infected_only,7,bic,seir,sir,0
early_seir_infected_only,7,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,7,gic_vol_025,seir,sir,0
early_seir_infected_only,7,gic_vol_050,seir,sir,0
early_seir_infected_only,7,gic_vol_100,seir,seir,1
early_seir_infected_only,7,ogic_e,seir,seir,1
early_seir_infected_only,8,aic,seir,sir,0
early_seir_infected_only,8,aicc,seir,sir,0
early_seir_infected_only,8,bic,seir,sir,0
early_seir_infected_only,8,gic_eff,seir,seir,1
early_seir_infected_only,8,gic_vol_025,seir,seir,1
