schema_version,protocol_hash,status,study,domain,truth,candidate,seed,n_observations,dimension,objective,deviance,gradient_norm,best_start,second_best_objective_gap,wall_seconds,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,0,25,3,-83.2062885978964,-166.67101344770106,0.0002633732961438291,3,1.2432498408543324e-07,52.653959600000235,3,-160.67101344770106,-159.52815630484392,-157.01438597309647,-157.93254901347234,-153.34241218779192,-148.7522753621115,-139.57200171075067,-161.24150022030807,-148.05202989307114,2.7147566136964967,18.360547302721677,0.25843625190825603
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,1,25,3,-81.00311452050929,-162.02012518022204,0.0003815036942564787,4,2.092355799732104e-07,55.72947430000204,3,-156.02012518022204,-154.8772680373649,-152.36349770561745,-153.10854898654065,-148.52845822791383,-143.948367469287,-134.78818595203333,-156.48305156909802,-143.68586600651125,2.7685368055620105,18.320363034507317,0.013896139203462244
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,2,25,3,-82.79962623070404,-165.63104709819277,1.9644375024846576e-05,4,6.150884246380883e-10,53.10676539999986,3,-159.63104709819277,-158.48818995533563,-155.97441962358818,-156.77081937888175,-152.17410124779528,-147.57738311670883,-138.38394685453588,-160.12587808803139,-147.2123799370622,2.7525845050806854,18.386872524345872,0.031794636784695976
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,3,25,3,-86.86002288969522,-174.0899160458797,0.0013320780230138666,3,1.1402728574694265e-06,91.3753177000035,3,-168.0899160458797,-166.94705890302257,-164.4332885712751,-165.37036301178998,-160.77009306704383,-156.1698231222977,-146.96928323280537,-168.6721531320545,-155.31896600040585,2.708881456912604,18.401079778984595,0.36987026648926186
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,4,25,3,-81.98996983570929,-163.99182526408396,7.210118126638064e-05,2,7.438245575031033e-10,78.17980469999748,3,-157.99182526408396,-156.84896812122682,-154.33519778947937,-155.10535070499105,-150.53412574754603,-145.962900790101,-136.82045087521098,-158.47034817544431,-145.6950398416385,2.7607385443198234,18.28489982978008,0.011885592665369149
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,5,25,3,-80.94882349168219,-162.25957640373056,0.000405738241694484,0,6.31033003628545e-10,88.71439120000286,3,-156.25957640373056,-155.11671926087342,-152.60294892912597,-153.55957487045447,-148.9767955292429,-144.39401618803132,-135.22845750560816,-156.85396152038393,-143.56652961851808,2.7028074416733148,18.331117364846296,0.36192942036616904
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,6,25,3,-80.32833423050636,-161.75635363545754,0.00029864882879077195,4,1.2157141782154213e-07,79.45175749999908,3,-155.75635363545754,-154.6134964926004,-152.09972616085295,-153.2368640050804,-148.64972541694576,-144.06258682881113,-134.88830965254184,-156.4628971034859,-142.30811410847414,2.646728265985833,18.348554352538564,1.0996851744448435
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,7,25,3,-85.60927249728483,-171.30495115097486,7.073972259678594e-05,1,9.480913831794169e-10,83.61063950000243,3,-165.30495115097486,-164.16209400811772,-161.64832367637027,-162.5026035021952,-157.91807410734344,-153.3335447124917,-144.16448592278817,-165.8357450506494,-152.88042741516264,2.734603050162735,18.338117579407026,0.08640615640517715
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,8,25,3,-77.67711108698494,-155.46638384931168,0.0004239141650459062,0,1.6275815539756877e-07,81.13542449999659,3,-149.46638384931168,-148.32352670645454,-145.8097563747071,-146.64535186850165,-142.04192324926652,-137.43849463003139,-128.23163739156112,-149.98556852076683,-136.94050769702935,2.740407664272422,18.413714476940527,0.11216167534181062
2.0,4ae7791832105e8d,ok,biochemical_haldane,biochemical,haldane,haldane,9,25,3,-80.32856110025772,-160.85338383395376,1.218674034007789e-05,2,8.657183798277401e-06,80.7559481999997,3,-154.85338383395376,-153.71052669109662,-151.19675635934917,-151.93705248119423,-147.39751683882744,-142.85798119646068,-133.7789099117271,-155.3133556763751,-142.49897963104831,2.7700140787893255,18.158142569467103,0.19626163343832484
