study,seed,criterion,truth,selected,correct
biochemical_haldane,0,aic,haldane,haldane,1
biochemical_haldane,0,aicc,haldane,haldane,1
biochemical_haldane,0,bic,haldane,haldane,1
biochemical_haldane,0,gic_eff,haldane,haldane,1
biochemical_haldane,0,gic_vol_050,haldane,haldane,1
biochemical_haldane,0,ogic_e,haldane,haldane,1
biochemical_haldane,1,aic,haldane,haldane,1
biochemical_haldane,1,aicc,haldane,haldane,1
biochemical_haldane,1,bic,haldane,haldane,1
biochemical_haldane,1,gic_eff,haldane,haldane,1
biochemical_haldane,1,gic_vol_050,haldane,haldane,1
biochemical_haldane,1,ogic_e,haldane,haldane,1
biochemical_haldane,2,aic,haldane,haldane,1
biochemical_haldane,2,aicc,haldane,haldane,1
biochemical_haldane,2,bic,haldane,haldane,1
biochemical_haldane,2,gic_eff,haldane,haldane,1
biochemical_haldane,2,gic_vol_050,haldane,haldane,1
biochemical_haldane,2,ogic_e,haldane,haldane,1
biochemical_haldane,3,aic,haldane,haldane,1
biochemical_haldane,3,aicc,haldane,haldane,1
biochemical_haldane,3,bic,haldane,haldane,1
biochemical_haldane,3,gic_eff,haldane,haldane,1
biochemical_haldane,3,gic_vol_050,haldane,haldane,1
biochemical_haldane,3,ogic_e,haldane,haldane,1
biochemical_haldane,4,aic,haldane,haldane,1
biochemical_haldane,4,aicc,haldane,haldane,1
biochemical_haldane,4,bic,haldane,haldane,1
biochemical_haldane,4,gic_eff,haldane,haldane,1
biochemical_haldane,4,gic_vol_050,haldane,haldane,1
biochemical_haldane,4,ogic_e,haldane,haldane,1
biochemical_haldane,5,aic,haldane,haldane,1
biochemical_haldane,5,aicc,haldane,haldane,1
biochemical_haldane,5,bic,haldane,haldane,1
biochemical_haldane,5,gic_eff,haldane,haldane,1
biochemical_haldane,5,gic_vol_050,haldane,haldane,1
biochemical_haldane,5,ogic_e,haldane,haldane,1
biochemical_haldane,6,aic,haldane,haldane,1
biochemical_haldane,6,aicc,haldane,haldane,1
biochemical_haldane,6,bic,haldane,haldane,1
biochemical_haldane,6,gic_eff,haldane,haldane,1
biochemical_haldane,6,gic_vol_050,haldane,haldane,1
biochemical_haldane,6,ogic_e,haldane,haldane,1
biochemical_haldane,7,aic,haldane,haldane,1
biochemical_haldane,7,aicc,haldane,haldane,1
biochemical_haldane,7,bic,haldane,haldane,1
biochemical_haldane,7,gic_eff,haldane,haldane,1
biochemical_haldane,7,gic_vol_050,haldane,haldane,1
biochemical_haldane,7,ogic_e,haldane,haldane,1
