study,criterion,mean,count,ci_low,ci_high
biochemical_haldane,aic,1.0,30,0.8864866068260312,0.9999999999999999
biochemical_haldane,aicc,1.0,30,0.8864866068260312,0.9999999999999999
biochemical_haldane,bic,1.0,30,0.8864866068260312,0.9999999999999999
biochemical_haldane,gic_eff,0.7333333333333333,30,0.555520383048111,0.8581733668040368
biochemical_haldane,gic_vol_050,0.9333333333333333,30,0.7867654163738308,0.9815229762087295
biochemical_haldane,ogic_e,1.0,30,0.8864866068260312,0.9999999999999999
biochemical_ude,aic,0.0,30,0.0,0.11351339317396876
biochemical_ude,aicc,0.0,30,0.0,0.11351339317396876
biochemical_ude,bic,0.0,30,0.0,0.11351339317396876
biochemical_ude,gic_eff,0.5333333333333333,30,0.36142299619873297,0.6976761109230025
biochemical_ude,gic_vol_050,0.43333333333333335,30,0.2737748557646652,0.6080269299918639
biochemical_ude,ogic_e,0.36666666666666664,30,0.21873920806100708,0.5448643634520511
ecology_rm,aic,1.0,30,0.8864866068260312,0.9999999999999999
ecology_rm,aicc,1.0,30,0.8864866068260312,0.9999999999999999
ecology_rm,bic,1.0,30,0.8864866068260312,0.9999999999999999
ecology_rm,gic_eff,1.0,30,0.8864866068260312,0.9999999999999999
ecology_rm,gic_vol_050,1.0,30,0.8864866068260312,0.9999999999999999
ecology_rm,ogic_e,1.0,30,0.8864866068260312,0.9999999999999999
fhn_standard,aic,0.9666666666666667,30,0.8332960900859082,0.9940914096183874
fhn_standard,aicc,1.0,30,0.8864866068260312,0.9999999999999999
fhn_standard,bic,1.0,30,0.8864866068260312,0.9999999999999999
fhn_standard,gic_eff,1.0,30,0.8864866068260312,0.9999999999999999
fhn_standard,gic_vol_050,1.0,30,0.8864866068260312,0.9999999999999999
fhn_standard,ogic_e,1.0,30,0.8864866068260312,0.9999999999999999
fhn_ude,aic,0.8666666666666667,30,0.703186733179637,0.9469034451594526
fhn_ude,aicc,0.8,30,0.6269430358685175,0.9049489282271013
fhn_ude,bic,0.3333333333333333,30,0.19230498083676134,0.5121994835545616
fhn_ude,gic_eff,0.9666666666666667,30,0.8332960900859082,0.9940914096183874
fhn_ude,gic_vol_050,0.9666666666666667,30,0.8332960900859082,0.9940914096183874
fhn_ude,ogic_e,0.9333333333333333,30,0.7867654163738308,0.9815229762087295
