scenario,method,mse_mean,mse_median,mse_ci_low,mse_ci_high,log_score_mean,log_score_ci_low,log_score_ci_high,coverage90,coverage90_ci_low,coverage90_ci_high,width90,within,between,mse_difference_vs_hard,mse_difference_ci_low,mse_difference_ci_high,n
early_seir_infected_only,equal,0.001968957650084673,0.0015001984765234812,0.0014692052362436881,0.002509759603247614,1.6705833306956372,1.5495255876967335,1.7709634206825011,0.9625,0.9041666666666668,1.0,0.16498205153362497,0.001827211393160098,0.0008748539415513988,0.0004817090875525159,-5.966708231620984e-05,0.0009209139355362998,40
early_seir_infected_only,aic,0.0011958574817145407,0.0007925933225170954,0.0007460000466987872,0.0017776087741694523,1.9626702630794377,1.786305730541415,2.0878439342304826,0.9666666666666666,0.9166666666666666,1.0,0.1391803054822002,0.0019275170612425376,5.627421682963736e-05,-0.0002913910808176163,-0.0007817152106516965,7.345750986999046e-05,40
early_seir_infected_only,bic,0.0011513103512487527,0.0007047107317701192,0.0006781654888405598,0.0017432542000617455,1.9823589565227564,1.7688533412764007,2.1317708143107903,0.9625,0.9041666666666666,1.0,0.13422642200096943,0.0018009700098874204,4.411173265641635e-05,-0.00033593821128340395,-0.0008231769084402207,1.3029171837756052e-05,40
early_seir_infected_only,gic_eff,0.0013421241378300023,0.0007666754240202062,0.000867124398157101,0.001919256881620941,1.8525132638522686,1.6840139817575044,1.9720931165924815,0.9666666666666666,0.9166666666666666,1.0,0.1533571853805713,0.001962898213827016,0.00045465245762385965,-0.00014512442470215441,-0.0005781328024824488,0.0001787960144869521,40
early_seir_infected_only,gic_vol_050,0.0013275383359298235,0.0007186633025542293,0.0008205766210942234,0.0019520121625925693,1.8441778931897375,1.6329996741143267,1.9956381228938946,0.95,0.8875,1.0,0.1496404462419209,0.0018305469193397722,0.00046892069796990366,-0.00015971022660233336,-0.0005810832680555935,0.00014276670429933913,40
early_seir_infected_only,stacking,0.002013142070949909,0.0012508505327550221,0.0013273200548275582,0.0028292920668238483,1.4380257440290234,0.917759105571484,1.866931285267152,0.85,0.7375,0.95,0.1390606302379278,0.00178488105933974,0.0002451617996710022,0.0005258935084177521,-8.246818476654707e-05,0.0012281106622489036,40
early_seir_infected_only,hard_gic,0.001487248562532157,0.0006888071279646094,0.0008611203968745794,0.0022465775196780246,1.6730091824464572,1.183375703735419,2.0591991563812804,0.9083333333333334,0.8125,0.9791666666666667,0.136976982449392,0.0020566758728120544,0.0,0.0,0.0,0.0,40
missing_neural_feedback,equal,3.2607548455648906e-05,2.4799787499301606e-05,2.4938703640700723e-05,4.119403452414346e-05,3.016405370441343,3.0041686635103555,3.0278582374124947,1.0,1.0,1.0,0.061674361876510056,0.00023632861185326044,0.00011716678762118405,-5.632922031341683e-05,-8.097238112609558e-05,-3.389055600095566e-05,40
missing_neural_feedback,aic,4.156123444688814e-05,3.3877252875062315e-05,3.349670057143789e-05,5.03352298907558e-05,3.1794916540405302,3.1610228293162086,3.196398441249887,1.0,1.0,1.0,0.0499878973921362,0.00022981941565271285,1.100258492480214e-06,-4.737553432217761e-05,-7.168687154250492e-05,-2.518265723823006e-05,40
missing_neural_feedback,bic,4.2341654200547474e-05,3.4182990813068004e-05,3.4074575296282346e-05,5.074755146995844e-05,3.1795861539456935,3.161011380045615,3.1976202069211155,1.0,1.0,1.0,0.04986415009332601,0.0002297606973853437,4.0439558418472e-09,-4.659511456851827e-05,-7.197629736817321e-05,-2.329895669415656e-05,40
missing_neural_feedback,gic_eff,1.773266539532772e-05,7.417786552105446e-06,1.0296587108201261e-05,2.6988018237198305e-05,3.11386991648303,3.100021921597604,3.126717319150742,1.0,1.0,1.0,0.0568643513678341,0.00023747781041433025,6.36507795859101e-05,-7.120410337373801e-05,-8.562332127006004e-05,-5.7181346284846135e-05,40
missing_neural_feedback,gic_vol_050,1.636381318692509e-05,7.27251471893342e-06,9.726463075346253e-06,2.410403394233741e-05,3.1158107921584923,3.1022541753751756,3.128046967903797,1.0,1.0,1.0,0.05688442455123451,0.00023810837502462881,6.321077257970701e-05,-7.257295558214065e-05,-8.776832999160882e-05,-5.767869604492878e-05,40
missing_neural_feedback,stacking,5.269169988772838e-05,3.941628639930805e-05,3.909037937116207e-05,6.758811711897624e-05,3.059571195388559,3.0346684686717023,3.0826577722308475,1.0,1.0,1.0,0.056481910435141815,0.00023821058062559126,5.9350801064167954e-05,-3.624506888133735e-05,-5.7498721127679534e-05,-1.4431702959293907e-05,40
missing_neural_feedback,hard_gic,8.893676876906573e-05,7.914015147112067e-05,6.96212358194047e-05,0.0001094128542097362,3.069963156471195,3.029546414906671,3.1094811384126824,1.0,1.0,1.0,0.050844092435501434,0.00023900627304131793,0.0,0.0,0.0,0.0,40
