schema_version,protocol_hash,status,scenario,candidate,truth,seed,draws,waic_laplace,p_waic
2.0,9ec3ab9877b4f423,ok,early_seir_infected_only,neural_ode_h2,seir,0,512,290.2714040152655,179.6667434874633
2.0,e9c6c81774a79ddb,ok,early_seir_infected_only,neural_ode_h2,seir,1,512,223.41600859353832,148.17265546234222
2.0,9369185f834cf87f,ok,early_seir_infected_only,neural_ode_h2,seir,2,512,337.24524829194166,205.0790033580193
2.0,5948e03b4f95cf73,ok,early_seir_infected_only,neural_ode_h2,seir,3,512,287.1369539586009,179.01598457834234
2.0,242938e0e89357d6,ok,early_seir_infected_only,neural_ode_h2,seir,4,512,442.9008329298151,249.77842644010252
2.0,ca1bbd1c4ced1b53,ok,early_seir_infected_only,neural_ode_h2,seir,5,512,111.77358272953846,91.85789091526694
2.0,b731b0b9a9e7211e,ok,early_seir_infected_only,neural_ode_h2,seir,6,512,120.44246330502415,94.28034936089401
2.0,78a58a8b10117639,ok,early_seir_infected_only,neural_ode_h2,seir,7,512,290.3283663934967,184.13233015944957
2.0,cdf3c66b22f3ca45,ok,early_seir_infected_only,neural_ode_h2,seir,8,512,292.2523000754504,183.61273125241735
2.0,b5939faeb1457426,ok,early_seir_infected_only,neural_ode_h2,seir,9,512,315.77700042920856,192.48214466669822
2.0,d0908e397fd6a3b5,ok,early_seir_infected_only,neural_ode_h2,seir,10,512,493.6836273015838,283.217367562667
2.0,0c9da9ed6a275d8c,ok,early_seir_infected_only,neural_ode_h2,seir,11,512,190.94846903081782,132.09303319165176
2.0,be69c4138879d616,ok,early_seir_infected_only,neural_ode_h2,seir,12,512,183.1797971643881,126.32423077137364
2.0,7abcfe74e49c3a22,ok,early_seir_infected_only,neural_ode_h2,seir,13,512,175.17076702883514,126.23194842048204
2.0,686b093e7c2760fd,ok,early_seir_infected_only,neural_ode_h2,seir,14,512,173.20696436013066,120.43967510075959
2.0,bc3724d86f519e60,ok,early_seir_infected_only,neural_ode_h2,seir,15,512,387.30215631961994,231.8526985148853
2.0,8ce31b2d5adde1b3,ok,early_seir_infected_only,neural_ode_h2,seir,16,512,311.8711595737566,191.60633428504798
2.0,6673d2b110f1afc2,ok,early_seir_infected_only,neural_ode_h2,seir,17,512,228.2315188793277,147.4745273498243
2.0,f3868edc22f22502,ok,early_seir_infected_only,neural_ode_h2,seir,18,512,192.0253738692618,131.8629716804529
2.0,a0f5ffa0bdaad2b0,ok,early_seir_infected_only,neural_ode_h2,seir,19,512,337.76037180290194,206.9147730385705
2.0,0c71243a9fe1e10b,ok,early_seir_infected_only,seir,seir,0,512,83.79659205493397,78.35553861556511
2.0,a4bdf07bfaf4b622,ok,early_seir_infected_only,seir,seir,1,512,61.886698042513316,69.60511094840713
2.0,6695e37ee6300ec5,ok,early_seir_infected_only,seir,seir,2,512,102.10096852705738,89.46746433878513
2.0,7932fdb1a8934d24,ok,early_seir_infected_only,seir,seir,3,512,-19.230254198541452,27.42784552791274
2.0,74e4c56907091736,ok,early_seir_infected_only,seir,seir,4,512,44.11866965618728,53.65010676302438
2.0,5882d9b88610b337,ok,early_seir_infected_only,seir,seir,5,512,20.700256652034895,46.89015242315568
2.0,0099727112aa1ff4,ok,early_seir_infected_only,seir,seir,6,512,33.960517203639455,52.92296977092273
2.0,bfcbea4c1ca00dad,ok,early_seir_infected_only,seir,seir,7,512,-34.471178945505955,24.966119253592463
2.0,83b1d72934296ed6,ok,early_seir_infected_only,seir,seir,8,512,10.129395096083156,46.11457942470696
2.0,177bb9a0b0f3f677,ok,early_seir_infected_only,seir,seir,9,512,-54.75544727212806,11.992866017335672
2.0,f21fe08606066a11,ok,early_seir_infected_only,seir,seir,10,512,-0.4417158842394784,38.59482346410233
2.0,51f0d6e9711d8cd9,ok,early_seir_infected_only,seir,seir,11,512,38.588851068640736,57.54228022294393
2.0,27a5defceb188359,ok,early_seir_infected_only,seir,seir,12,512,66331278749.6541,33165639411.923893
2.0,5563f92fb45ca041,ok,early_seir_infected_only,seir,seir,13,512,9.315504623163994,43.153677724106515
2.0,699f0e7e1b8a6623,ok,early_seir_infected_only,seir,seir,14,512,9.8241391268439,41.46234641789403
2.0,27b42c9e637e206f,ok,early_seir_infected_only,seir,seir,15,512,44.05035652218735,60.67414732070024
2.0,5bdc34fa4c7ff7eb,ok,early_seir_infected_only,seir,seir,16,512,-17.734464494656606,25.97005985885263
2.0,44e5349a5cd955ea,ok,early_seir_infected_only,seir,seir,17,512,16.150891464448435,44.34597757969492
2.0,3accd99ea578c879,ok,early_seir_infected_only,seir,seir,18,512,4.608351005312983,40.88054948584345
2.0,b699061e0777d479,ok,early_seir_infected_only,seir,seir,19,512,-4.728268273759646,37.43393884683896
2.0,9ebd2bc3d383e9a9,ok,early_seir_infected_only,sir,seir,0,512,118.66616219860362,96.83661778594973
2.0,f6a0369bb77e15f3,ok,early_seir_infected_only,sir,seir,1,512,81.98800592822589,80.19288499853559
2.0,74fa55288e555abd,ok,early_seir_infected_only,sir,seir,2,512,99.83674055722256,89.06340288291356
2.0,0afaf9806461f930,ok,early_seir_infected_only,sir,seir,3,512,-60.759076763138886,9.002795400055533
2.0,57b8c20297a72aff,ok,early_seir_infected_only,sir,seir,4,512,83.67084645466834,74.11965323784648
2.0,b1594079aae271f0,ok,early_seir_infected_only,sir,seir,5,512,36.87761833659155,56.51021912172541
2.0,a4bce6afb1d37fb1,ok,early_seir_infected_only,sir,seir,6,512,68.10098197113533,70.3130260352535
2.0,e81aa89071ee0452,ok,early_seir_infected_only,sir,seir,7,512,-40.81704305193583,23.175103676067422
2.0,18c25522eab8072c,ok,early_seir_infected_only,sir,seir,8,512,15.943471789992467,50.5552063166148
2.0,ce064009b8c1e699,ok,early_seir_infected_only,sir,seir,9,512,-51.349620696680816,14.091576800182034
2.0,28ef60c02547e7a1,ok,early_seir_infected_only,sir,seir,10,512,10.120103114528092,45.147755302470614
2.0,8ee9efda1c0f0e9d,ok,early_seir_infected_only,sir,seir,11,512,11.870552466171567,45.84082968557676
2.0,980dbe8e5868ad19,ok,early_seir_infected_only,sir,seir,12,512,-66.7847879515732,5.367956000899769
2.0,980601514c21f667,ok,early_seir_infected_only,sir,seir,13,512,-62.71491818074714,9.976376141197367
2.0,3dcdf75f6d6eaeb0,ok,early_seir_infected_only,sir,seir,14,512,5.286146698362732,40.604849190443616
