scenario,seed,selected,truth,correct
early_seir_infected_only,0,seir,seir,1
early_seir_infected_only,1,seir,seir,1
early_seir_infected_only,2,sir,seir,0
early_seir_infected_only,3,sir,seir,0
early_seir_infected_only,4,seir,seir,1
early_seir_infected_only,5,seir,seir,1
early_seir_infected_only,6,tv_sir,seir,0
early_seir_infected_only,7,sir,seir,0
early_seir_infected_only,8,seir,seir,1
early_seir_infected_only,9,seir,seir,1
early_seir_infected_only,10,seir,seir,1
early_seir_infected_only,11,sir,seir,0
early_seir_infected_only,12,sir,seir,0
early_seir_infected_only,13,sir,seir,0
early_seir_infected_only,14,sir,seir,0
early_seir_infected_only,15,sir,seir,0
early_seir_infected_only,16,sir,seir,0
early_seir_infected_only,17,seir,seir,1
early_seir_infected_only,18,tv_sir,seir,0
early_seir_infected_only,19,seir,seir,1
missing_neural_feedback,0,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,tv_sir,ude_sir_h2,0
missing_neural_feedback,8,tv_sir,ude_sir_h2,0
missing_neural_feedback,9,tv_sir,ude_sir_h2,0
missing_neural_feedback,10,tv_sir,ude_sir_h2,0
missing_neural_feedback,11,tv_sir,ude_sir_h2,0
missing_neural_feedback,12,tv_sir,ude_sir_h2,0
missing_neural_feedback,13,tv_sir,ude_sir_h2,0
missing_neural_feedback,14,tv_sir,ude_sir_h2,0
missing_neural_feedback,15,tv_sir,ude_sir_h2,0
missing_neural_feedback,16,tv_sir,ude_sir_h2,0
missing_neural_feedback,17,tv_sir,ude_sir_h2,0
missing_neural_feedback,18,tv_sir,ude_sir_h2,0
missing_neural_feedback,19,tv_sir,ude_sir_h2,0
missing_time_varying_transmission,0,tv_sir,tv_sir,1
missing_time_varying_transmission,1,tv_sir,tv_sir,1
missing_time_varying_transmission,2,tv_sir,tv_sir,1
missing_time_varying_transmission,3,tv_sir,tv_sir,1
missing_time_varying_transmission,4,tv_sir,tv_sir,1
missing_time_varying_transmission,5,tv_sir,tv_sir,1
missing_time_varying_transmission,6,tv_sir,tv_sir,1
missing_time_varying_transmission,7,tv_sir,tv_sir,1
missing_time_varying_transmission,8,tv_sir,tv_sir,1
missing_time_varying_transmission,9,tv_sir,tv_sir,1
missing_time_varying_transmission,10,tv_sir,tv_sir,1
missing_time_varying_transmission,11,tv_sir,tv_sir,1
missing_time_varying_transmission,12,tv_sir,tv_sir,1
missing_time_varying_transmission,13,tv_sir,tv_sir,1
missing_time_varying_transmission,14,tv_sir,tv_sir,1
missing_time_varying_transmission,15,tv_sir,tv_sir,1
missing_time_varying_transmission,16,tv_sir,tv_sir,1
missing_time_varying_transmission,17,tv_sir,tv_sir,1
missing_time_varying_transmission,18,tv_sir,tv_sir,1
missing_time_varying_transmission,19,tv_sir,tv_sir,1
noisy_sir_overfit_risk,0,tv_sir,sir,0
noisy_sir_overfit_risk,2,tv_sir,sir,0
noisy_sir_overfit_risk,3,sir,sir,1
noisy_sir_overfit_risk,4,sir,sir,1
noisy_sir_overfit_risk,5,sir,sir,1
noisy_sir_overfit_risk,7,sir,sir,1
noisy_sir_overfit_risk,8,sir,sir,1
noisy_sir_overfit_risk,9,seir,sir,0
noisy_sir_overfit_risk,10,sir,sir,1
noisy_sir_overfit_risk,11,seir,sir,0
noisy_sir_overfit_risk,12,sir,sir,1
noisy_sir_overfit_risk,13,sir,sir,1
noisy_sir_overfit_risk,14,tv_sir,sir,0
noisy_sir_overfit_risk,15,sir,sir,1
noisy_sir_overfit_risk,16,sir,sir,1
noisy_sir_overfit_risk,17,seir,sir,0
noisy_sir_overfit_risk,18,sir,sir,1
noisy_sir_overfit_risk,19,seir,sir,0
regular_sir_full,0,sir,sir,1
regular_sir_full,1,tv_sir,sir,0
regular_sir_full,2,sir,sir,1
regular_sir_full,3,sir,sir,1
regular_sir_full,4,sir,sir,1
regular_sir_full,5,sir,sir,1
regular_sir_full,6,tv_sir,sir,0
regular_sir_full,7,sir,sir,1
regular_sir_full,8,sir,sir,1
regular_sir_full,9,tv_sir,sir,0
regular_sir_full,10,sir,sir,1
regular_sir_full,11,sir,sir,1
regular_sir_full,12,tv_sir,sir,0
regular_sir_full,13,sir,sir,1
regular_sir_full,14,sir,sir,1
regular_sir_full,15,sir,sir,1
regular_sir_full,16,tv_sir,sir,0
regular_sir_full,17,sir,sir,1
regular_sir_full,18,sir,sir,1
regular_sir_full,19,sir,sir,1
