scenario,criterion,median,mean,std
early_seir_infected_only,aic,0.0007873690945299501,0.0011405886318256084,0.0013244215038392955
early_seir_infected_only,aicc,0.0005841277250084,0.0011065434923249393,0.0013401298603546022
early_seir_infected_only,bic,0.0005841277250084,0.0011013381025967149,0.0013444228933407146
early_seir_infected_only,blocked_validation,0.00065273765845855,0.0017349294242370796,0.0025196692018016856
early_seir_infected_only,gic_eff,0.00043746637246175,0.0010108582060946996,0.0013849894902978387
early_seir_infected_only,gic_vol_025,0.00043746637246175,0.001010672500339073,0.0013871196221728343
early_seir_infected_only,gic_vol_050,0.00040106066448529997,0.0009232174386609329,0.001386238936237612
early_seir_infected_only,gic_vol_100,0.00031323658448745,0.0007543111660282979,0.0012672173975836183
early_seir_infected_only,ogic_e,0.00021699633428455,0.0007941205039390988,0.0012742241071410784
early_seir_infected_only,ogic_p,0.00042732605408735,0.0013920076900428863,0.0022097596234641604
early_seir_infected_only,waic_laplace,0.00122264557731745,0.0022540305842182152,0.002811688208665088
missing_neural_feedback,aic,3.911198559548732e-05,4.3515502133878456e-05,2.484483628502283e-05
missing_neural_feedback,aicc,3.911198559548732e-05,4.3515502133878456e-05,2.484483628502283e-05
missing_neural_feedback,bic,3.911198559548732e-05,4.3515502133878456e-05,2.484483628502283e-05
missing_neural_feedback,blocked_validation,5.073277541933077e-05,6.260121465856484e-05,4.385342604829877e-05
missing_neural_feedback,gic_eff,7.104750319825033e-05,8.256347143370233e-05,5.097578455348258e-05
missing_neural_feedback,gic_vol_025,7.104750319825033e-05,8.220052903270704e-05,5.027565044485171e-05
missing_neural_feedback,gic_vol_050,6.362818316136002e-05,8.106492643588167e-05,5.065071126589178e-05
missing_neural_feedback,gic_vol_100,6.201385465944383e-05,7.643267690770753e-05,4.884213790592058e-05
missing_neural_feedback,ogic_e,4.6605206665018606e-05,5.646464738718599e-05,3.85901243276906e-05
missing_neural_feedback,ogic_p,6.201385465944383e-05,7.739860147093311e-05,5.127793980036906e-05
missing_neural_feedback,waic_laplace,3.911198559548732e-05,4.3515502133878456e-05,2.484483628502283e-05
missing_time_varying_transmission,aic,1.1667119747364166e-07,3.5196175095431447e-07,5.048431724642605e-07
missing_time_varying_transmission,aicc,1.1667119747364166e-07,3.5196175095431447e-07,5.048431724642605e-07
missing_time_varying_transmission,bic,1.1667119747364166e-07,3.5196175095431447e-07,5.048431724642605e-07
missing_time_varying_transmission,blocked_validation,5.992544988553146e-07,1.4305730200192038e-06,1.8498850350848978e-06
missing_time_varying_transmission,gic_eff,4.2013602196627096e-07,1.3713345170918868e-06,1.8184075247497823e-06
missing_time_varying_transmission,gic_vol_025,2.45737018186425e-07,1.1268724628855514e-06,1.786283206977838e-06
missing_time_varying_transmission,gic_vol_050,1.9686635669396642e-07,9.371102239340453e-07,1.6866689113060475e-06
missing_time_varying_transmission,gic_vol_100,1.513150309079565e-07,6.21190548246434e-07,1.0899984852452415e-06
missing_time_varying_transmission,ogic_e,1.513150309079565e-07,5.795856583568791e-07,1.0677453788237095e-06
missing_time_varying_transmission,ogic_p,4.2013602196627096e-07,1.3713345170918868e-06,1.8184075247497823e-06
missing_time_varying_transmission,waic_laplace,1.1667119747364166e-07,3.5196175095431447e-07,5.048431724642605e-07
noisy_sir_overfit_risk,aic,1.6729532170839915e-05,4.038849951343853e-05,7.157338378069901e-05
noisy_sir_overfit_risk,aicc,1.6729532170839915e-05,3.1177348862889724e-05,5.7328195460244673e-05
noisy_sir_overfit_risk,bic,8.867769578513042e-06,1.7163906357075375e-05,2.1594179294042775e-05
noisy_sir_overfit_risk,blocked_validation,1.4309920113395446e-05,4.6959054341547865e-05,8.036639011676136e-05
noisy_sir_overfit_risk,gic_eff,2.255639902147267e-05,5.459706833618769e-05,7.964584193103468e-05
noisy_sir_overfit_risk,gic_vol_025,2.4502907727678376e-05,5.542604769701261e-05,7.947545478580969e-05
noisy_sir_overfit_risk,gic_vol_050,2.4502907727678376e-05,5.542604769701261e-05,7.947545478580969e-05
noisy_sir_overfit_risk,gic_vol_100,1.866135899074863e-05,5.484189282331963e-05,7.970801500659603e-05
noisy_sir_overfit_risk,ogic_e,3.158924298598406e-05,5.6996123060658026e-05,7.864751319069833e-05
noisy_sir_overfit_risk,ogic_p,3.62539867019616e-05,6.0187666979341906e-05,7.82163165360356e-05
noisy_sir_overfit_risk,waic_laplace,1.2918285079814651e-05,2.878646032119231e-05,3.779858549547462e-05
regular_sir_full,aic,4.927946456325974e-07,7.789666984085627e-07,9.8335818551885e-07
regular_sir_full,aicc,4.534014485371818e-07,6.735180429863387e-07,8.804281971352452e-07
regular_sir_full,bic,2.962930653240929e-07,6.254362367324827e-07,8.886778499977194e-07
regular_sir_full,blocked_validation,1.044116782701246e-06,1.9617399345130186e-06,2.153987434377607e-06
regular_sir_full,gic_eff,2.962930653240929e-07,6.254362367324827e-07,8.886778499977194e-07
regular_sir_full,gic_vol_025,2.603125101485816e-07,4.3814519656829344e-07,3.7825994147988117e-07
regular_sir_full,gic_vol_050,2.603125101485816e-07,4.3814519656829344e-07,3.7825994147988117e-07
regular_sir_full,gic_vol_100,2.603125101485816e-07,4.3814519656829344e-07,3.7825994147988117e-07
regular_sir_full,ogic_e,2.603125101485816e-07,4.3814519656829344e-07,3.7825994147988117e-07
regular_sir_full,ogic_p,4.927946456325974e-07,8.879974293166302e-07,1.128810129527767e-06
regular_sir_full,waic_laplace,4.927946456325974e-07,9.304049987212087e-07,1.2634810360364678e-06
