scenario,criterion,model,count
early_partial_seir_medium_noise,aic,SIR,10
early_partial_seir_medium_noise,aic,SEIR,0
early_partial_seir_medium_noise,aic,TV-SIR,2
early_partial_seir_medium_noise,aic,UDE-SIR,0
early_partial_seir_medium_noise,aicc,SIR,12
early_partial_seir_medium_noise,aicc,SEIR,0
early_partial_seir_medium_noise,aicc,TV-SIR,0
early_partial_seir_medium_noise,aicc,UDE-SIR,0
early_partial_seir_medium_noise,bic,SIR,10
early_partial_seir_medium_noise,bic,SEIR,0
early_partial_seir_medium_noise,bic,TV-SIR,2
early_partial_seir_medium_noise,bic,UDE-SIR,0
early_partial_seir_medium_noise,cv,SIR,5
early_partial_seir_medium_noise,cv,SEIR,5
early_partial_seir_medium_noise,cv,TV-SIR,0
early_partial_seir_medium_noise,cv,UDE-SIR,2
early_partial_seir_medium_noise,gic_aic,SIR,5
early_partial_seir_medium_noise,gic_aic,SEIR,5
early_partial_seir_medium_noise,gic_aic,TV-SIR,2
early_partial_seir_medium_noise,gic_aic,UDE-SIR,0
early_partial_seir_medium_noise,gic_eff,SIR,5
early_partial_seir_medium_noise,gic_eff,SEIR,5
early_partial_seir_medium_noise,gic_eff,TV-SIR,2
early_partial_seir_medium_noise,gic_eff,UDE-SIR,0
early_partial_seir_medium_noise,gic_vol,SIR,5
early_partial_seir_medium_noise,gic_vol,SEIR,5
early_partial_seir_medium_noise,gic_vol,TV-SIR,2
early_partial_seir_medium_noise,gic_vol,UDE-SIR,0
early_partial_seir_medium_noise,waic_like,SIR,5
early_partial_seir_medium_noise,waic_like,SEIR,5
early_partial_seir_medium_noise,waic_like,TV-SIR,2
early_partial_seir_medium_noise,waic_like,UDE-SIR,0
regular_full_long_low_noise,aic,SIR,11
regular_full_long_low_noise,aic,SEIR,0
regular_full_long_low_noise,aic,TV-SIR,1
regular_full_long_low_noise,aic,UDE-SIR,0
regular_full_long_low_noise,aicc,SIR,11
regular_full_long_low_noise,aicc,SEIR,0
regular_full_long_low_noise,aicc,TV-SIR,1
regular_full_long_low_noise,aicc,UDE-SIR,0
regular_full_long_low_noise,bic,SIR,11
regular_full_long_low_noise,bic,SEIR,0
regular_full_long_low_noise,bic,TV-SIR,1
regular_full_long_low_noise,bic,UDE-SIR,0
regular_full_long_low_noise,cv,SIR,7
regular_full_long_low_noise,cv,SEIR,0
regular_full_long_low_noise,cv,TV-SIR,4
regular_full_long_low_noise,cv,UDE-SIR,1
regular_full_long_low_noise,gic_aic,SIR,11
regular_full_long_low_noise,gic_aic,SEIR,0
regular_full_long_low_noise,gic_aic,TV-SIR,0
regular_full_long_low_noise,gic_aic,UDE-SIR,1
regular_full_long_low_noise,gic_eff,SIR,11
regular_full_long_low_noise,gic_eff,SEIR,0
regular_full_long_low_noise,gic_eff,TV-SIR,1
regular_full_long_low_noise,gic_eff,UDE-SIR,0
regular_full_long_low_noise,gic_vol,SIR,11
regular_full_long_low_noise,gic_vol,SEIR,0
regular_full_long_low_noise,gic_vol,TV-SIR,1
regular_full_long_low_noise,gic_vol,UDE-SIR,0
regular_full_long_low_noise,waic_like,SIR,11
regular_full_long_low_noise,waic_like,SEIR,0
regular_full_long_low_noise,waic_like,TV-SIR,0
regular_full_long_low_noise,waic_like,UDE-SIR,1
ude_overfit_noisy_sir,aic,SIR,7
ude_overfit_noisy_sir,aic,SEIR,2
ude_overfit_noisy_sir,aic,TV-SIR,3
ude_overfit_noisy_sir,aic,UDE-SIR,0
ude_overfit_noisy_sir,aicc,SIR,10
ude_overfit_noisy_sir,aicc,SEIR,1
ude_overfit_noisy_sir,aicc,TV-SIR,1
ude_overfit_noisy_sir,aicc,UDE-SIR,0
ude_overfit_noisy_sir,bic,SIR,8
ude_overfit_noisy_sir,bic,SEIR,1
ude_overfit_noisy_sir,bic,TV-SIR,3
ude_overfit_noisy_sir,bic,UDE-SIR,0
ude_overfit_noisy_sir,cv,SIR,6
ude_overfit_noisy_sir,cv,SEIR,5
ude_overfit_noisy_sir,cv,TV-SIR,1
ude_overfit_noisy_sir,cv,UDE-SIR,0
ude_overfit_noisy_sir,gic_aic,SIR,4
ude_overfit_noisy_sir,gic_aic,SEIR,4
ude_overfit_noisy_sir,gic_aic,TV-SIR,3
ude_overfit_noisy_sir,gic_aic,UDE-SIR,1
ude_overfit_noisy_sir,gic_eff,SIR,4
ude_overfit_noisy_sir,gic_eff,SEIR,4
ude_overfit_noisy_sir,gic_eff,TV-SIR,4
ude_overfit_noisy_sir,gic_eff,UDE-SIR,0
ude_overfit_noisy_sir,gic_vol,SIR,4
ude_overfit_noisy_sir,gic_vol,SEIR,4
ude_overfit_noisy_sir,gic_vol,TV-SIR,4
ude_overfit_noisy_sir,gic_vol,UDE-SIR,0
ude_overfit_noisy_sir,waic_like,SIR,4
ude_overfit_noisy_sir,waic_like,SEIR,4
ude_overfit_noisy_sir,waic_like,TV-SIR,3
ude_overfit_noisy_sir,waic_like,UDE-SIR,1
