scenario,criterion,entropy,top_model,top_frequency
early_partial_seir_medium_noise,aic,0.4505612088643047,SIR,0.8333333333333334
early_partial_seir_medium_noise,aicc,-1.000088900581841e-12,SIR,1.0
early_partial_seir_medium_noise,bic,0.4505612088643047,SIR,0.8333333333333334
early_partial_seir_medium_noise,cv,1.028183859329926,SIR,0.4166666666666667
early_partial_seir_medium_noise,gic_aic,1.028183859329926,SIR,0.4166666666666667
early_partial_seir_medium_noise,gic_eff,1.028183859329926,SIR,0.4166666666666667
early_partial_seir_medium_noise,gic_vol,1.028183859329926,SIR,0.4166666666666667
early_partial_seir_medium_noise,waic_like,1.028183859329926,SIR,0.4166666666666667
regular_full_long_low_noise,aic,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,aicc,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,bic,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,cv,0.8876942757961039,SIR,0.5833333333333334
regular_full_long_low_noise,gic_aic,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,gic_eff,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,gic_vol,0.2868359830541607,SIR,0.9166666666666666
regular_full_long_low_noise,waic_like,0.2868359830541607,SIR,0.9166666666666666
ude_overfit_noisy_sir,aic,0.9596147939090491,SIR,0.5833333333333334
ude_overfit_noisy_sir,aicc,0.5660857389566288,SIR,0.8333333333333334
ude_overfit_noisy_sir,bic,0.8239592164980822,SIR,0.6666666666666666
ude_overfit_noisy_sir,cv,0.9184277849900977,SIR,0.5
ude_overfit_noisy_sir,gic_aic,1.2860573368703792,SIR,0.3333333333333333
ude_overfit_noisy_sir,gic_eff,1.0986122886651097,SIR,0.3333333333333333
ude_overfit_noisy_sir,gic_vol,1.0986122886651097,SIR,0.3333333333333333
ude_overfit_noisy_sir,waic_like,1.2860573368703792,SIR,0.3333333333333333
